TEMPORAL;TERRITORIO;ARE_INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2017;C02;;01;41;;132.0;A
2017;C02;;01;C01;;759.0;A
2017;C02;;01;00;;759.0;A
2017;C02;;06;04;;45.0;A
2017;C02;;06;11;;113.0;A
2017;C02;;06;14;;55.0;A
2017;C02;;06;18;;91.0;A
2017;C02;;06;21;;18.0;A
2017;C02;;06;23;;68.0;A
2017;C02;;06;29;;96.0;A
2017;C02;;06;41;;107.0;A
2017;C02;;06;C01;;593.0;A
2017;C02;;06;00;;593.0;A
2017;00;;00;04;;713.0;A
2017;00;;00;11;;1534.0;A
2017;00;;00;14;;830.0;A
2017;00;;00;18;;1215.0;A
2017;00;;00;21;;343.0;A
2017;00;;00;23;;650.0;A
2017;00;;00;29;;1818.0;A
2017;00;;00;41;;1888.0;A
2017;00;;00;C01;;8991.0;A
2017;00;;00;C02;;1135.0;A
2017;00;;00;66;;10854.0;A
2017;00;;00;NC000;;3.0;A
2017;00;;00;00;;20983.0;A
2017;00;;01;04;;374.0;A
2017;00;;01;11;;781.0;A
2017;00;;01;14;;434.0;A
2017;00;;01;18;;628.0;A
2017;00;;01;21;;170.0;A
2017;00;;01;23;;357.0;A
2017;00;;01;29;;919.0;A
2017;00;;01;41;;975.0;A
2017;00;;01;C01;;4638.0;A
2017;00;;01;C02;;614.0;A
2017;00;;01;66;;5385.0;A
2017;00;;01;NC000;;2.0;A
2017;00;;01;00;;10639.0;A
2017;00;;06;04;;339.0;A
2017;00;;06;11;;753.0;A
2017;00;;06;14;;396.0;A
2017;00;;06;18;;587.0;A
2017;00;;06;21;;173.0;A
2017;00;;06;23;;293.0;A
2017;00;;06;29;;899.0;A
2017;00;;06;41;;913.0;A
2017;00;;06;C01;;4353.0;A
2017;00;;06;C02;;521.0;A
2017;00;;06;66;;5469.0;A
2017;00;;06;NC000;;1.0;A
2017;00;;06;00;;10344.0;A
2018;04;;00;04;;558.0;A
2018;04;;00;11;;1.0;A
2018;04;;00;14;;2.0;A
2018;04;;00;18;;16.0;A
2018;04;;00;21;;1.0;A
2018;04;;00;23;;4.0;A
2018;04;;00;29;;5.0;A
2018;04;;00;41;;10.0;A
2018;04;;00;C01;;597.0;A
2018;04;;00;C02;;92.0;A
2018;04;;00;66;;1546.0;A
2018;04;;00;00;;2235.0;A
2018;04;;01;04;;297.0;A
2018;04;;01;11;;1.0;A
2018;04;;01;14;;1.0;A
2018;04;;01;18;;6.0;A
2018;04;;01;21;;1.0;A
2018;04;;01;23;;1.0;A
2018;04;;01;29;;3.0;A
2018;04;;01;41;;7.0;A
2018;04;;01;C01;;317.0;A
2018;04;;01;C02;;51.0;A
2018;04;;01;66;;755.0;A
2018;04;;01;00;;1123.0;A
2018;04;;06;04;;261.0;A
2018;04;;06;14;;1.0;A
2018;04;;06;18;;10.0;A
