TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1998;060064;01;41;;8089.4592867;A
1998;060064;01;C01;;73549.1581877;A
1998;060064;06;04;;8187.9148693;A
1998;060064;06;11;;4224.1000393;A
1998;060064;06;14;;14799.9186706;A
1998;060064;06;18;;13510.1965265;A
1998;060064;06;21;;2726.2002393;A
1998;060064;06;23;;19483.416954;A
1998;060064;06;29;;7508.5218379;A
1998;060064;06;41;;8702.863388;A
1998;060064;06;C01;;79143.1325249;A
1998;065069;00;04;;14618.3837022;A
1998;065069;00;11;;7012.1784073;A
1998;065069;00;14;;25284.7313535;A
1998;065069;00;18;;22099.9858794;A
1998;065069;00;21;;4383.7359529;A
1998;065069;00;23;;33152.3865875;A
1998;065069;00;29;;12757.8026411;A
1998;065069;00;41;;13902.1474821;A
1998;065069;00;C01;;133211.352006;A
1998;065069;01;04;;6579.6664528;A
1998;065069;01;11;;3204.3248756;A
1998;065069;01;14;;11617.8744014;A
1998;065069;01;18;;10105.0811363;A
1998;065069;01;21;;1995.1017619;A
1998;065069;01;23;;15091.3018165;A
1998;065069;01;29;;6122.6867203;A
1998;065069;01;41;;6411.3540563;A
1998;065069;01;C01;;61127.3912211;A
1998;065069;06;04;;8038.7172494;A
1998;065069;06;11;;3807.8535317;A
1998;065069;06;14;;13666.8569521;A
1998;065069;06;18;;11994.9047431;A
1998;065069;06;21;;2388.634191;A
1998;065069;06;23;;18061.084771;A
1998;065069;06;29;;6635.1159208;A
1998;065069;06;41;;7490.7934258;A
1998;065069;06;C01;;72083.9607849;A
1998;070074;00;04;;13309.9169988;A
1998;070074;00;11;;5516.018443;A
1998;070074;00;14;;19518.1406325;A
1998;070074;00;18;;16864.6663278;A
1998;070074;00;21;;3287.776344;A
1998;070074;00;23;;25207.2702816;A
1998;070074;00;29;;9876.264521;A
1998;070074;00;41;;9860.6376655;A
1998;070074;00;C01;;103440.6912142;A
1998;070074;01;04;;5695.1531492;A
1998;070074;01;11;;2319.6703753;A
1998;070074;01;14;;8664.5830207;A
1998;070074;01;18;;7486.7233356;A
1998;070074;01;21;;1430.4923667;A
1998;070074;01;23;;10915.5359874;A
1998;070074;01;29;;4395.6331413;A
1998;070074;01;41;;4228.9528759;A
1998;070074;01;C01;;45136.7442521;A
1998;070074;06;04;;7614.7638496;A
1998;070074;06;11;;3196.3480677;A
1998;070074;06;14;;10853.5576118;A
1998;070074;06;18;;9377.9429922;A
1998;070074;06;21;;1857.2839773;A
1998;070074;06;23;;14291.7342942;A
1998;070074;06;29;;5480.6313797;A
1998;070074;06;41;;5631.6847896;A
1998;070074;06;C01;;58303.9469621;A
1998;075079;00;04;;9719.5699547;A
1998;075079;00;11;;4191.7915862;A
1998;075079;00;14;;13646.8234135;A
1998;075079;00;18;;11209.1822876;A
1998;075079;00;21;;2830.2064046;A
1998;075079;00;23;;16971.5883351;A
1998;075079;00;29;;6829.503143;A
1998;075079;00;41;;6739.3198998;A
1998;075079;00;C01;;72137.9850245;A
1998;075079;01;04;;3851.5952323;A
1998;075079;01;11;;1586.6736682;A
1998;075079;01;14;;5415.4413967;A
1998;075079;01;18;;4547.4203389;A
1998;075079;01;21;;1072.9904013;A
1998;075079;01;23;;6704.4830894;A
1998;075079;01;29;;2668.1568385;A
1998;075079;01;41;;2761.5431533;A
1998;075079;01;C01;;28608.3041186;A
1998;075079;06;04;;5867.9747224;A
1998;075079;06;11;;2605.117918;A
1998;075079;06;14;;8231.3820168;A
1998;075079;06;18;;6661.7619487;A
1998;075079;06;21;;1757.2160033;A
1998;075079;06;23;;10267.1052457;A
1998;075079;06;29;;4161.3463045;A
1998;075079;06;41;;3977.7767465;A
1998;075079;06;C01;;43529.6809059;A
1998;080084;00;04;;6224.1580731;A
1998;080084;00;11;;2551.3276799;A
1998;080084;00;14;;7888.7640035;A
1998;080084;00;18;;6358.2763615;A
1998;080084;00;21;;1879.8454606;A
1998;080084;00;23;;9625.6971427;A
1998;080084;00;29;;4126.5597121;A
1998;080084;00;41;;3872.7812493;A
1998;080084;00;C01;;42527.4096827;A
1998;080084;01;04;;2126.5465774;A
1998;080084;01;11;;885.7636274;A
1998;080084;01;14;;2698.953118;A
1998;080084;01;18;;2314.0572728;A
1998;080084;01;21;;613.8390333;A
1998;080084;01;23;;3266.1882005;A
1998;080084;01;29;;1458.0922625;A
1998;080084;01;41;;1386.3698518;A
1998;080084;01;C01;;14749.8099437;A
1998;080084;06;04;;4097.6114957;A
1998;080084;06;11;;1665.5640525;A
1998;080084;06;14;;5189.8108855;A
1998;080084;06;18;;4044.2190887;A
1998;080084;06;21;;1266.0064273;A
1998;080084;06;23;;6359.5089422;A
1998;080084;06;29;;2668.4674496;A
1998;080084;06;41;;2486.4113975;A
1998;080084;06;C01;;27777.599739;A
1998;065100;00;04;;5080.1430234;A
1998;065100;00;11;;1948.4518933;A
1998;065100;00;14;;5621.0534819;A
