TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1999;00;C12;C01;;10440.251927;A
1999;00;C13;04;;10045.6376076;A
1999;00;C13;11;;27180.9989615;A
1999;00;C13;14;;65246.4638645;A
1999;00;C13;18;;25416.5612163;A
1999;00;C13;21;;12238.6831233;A
1999;00;C13;23;;92340.3590691;A
1999;00;C13;29;;23288.5329777;A
1999;00;C13;41;;37345.4955927;A
1999;00;C13;C01;;293102.7324127;A
1999;00;C14;04;;11253.8797589;A
1999;00;C14;11;;2617.1282516;A
1999;00;C14;14;;2849.060606;A
1999;00;C14;18;;10875.8364776;A
1999;00;C14;21;;541.0961443;A
1999;00;C14;23;;6966.3747203;A
1999;00;C14;29;;1787.8362316;A
1999;00;C14;41;;2541.3505929;A
1999;00;C14;C01;;39432.5627832;A
1999;00;C15;04;;470.0572686;A
1999;00;C15;11;;1247.1669617;A
1999;00;C15;14;;1328.086212;A
1999;00;C15;18;;1498.6598007;A
1999;00;C15;21;;223.4647201;A
1999;00;C15;23;;7033.2137079;A
1999;00;C15;29;;1075.2246194;A
1999;00;C15;41;;966.0049381;A
1999;00;C15;C01;;13841.8782285;A
1999;00;C16;04;;949.2214431;A
1999;00;C16;11;;3878.4009431;A
1999;00;C16;14;;7327.8203612;A
1999;00;C16;18;;5922.8622029;A
1999;00;C16;21;;2558.1928134;A
1999;00;C16;23;;9752.5662084;A
1999;00;C16;29;;8519.9855814;A
1999;00;C16;41;;4189.4278188;A
1999;00;C16;C01;;43098.4773723;A
1999;00;C17;04;;112.1559283;A
1999;00;C17;11;;415.3857865;A
1999;00;C17;14;;488.866696;A
1999;00;C17;18;;445.2782906;A
1999;00;C17;21;;139.7934898;A
1999;00;C17;23;;1042.6998907;A
1999;00;C17;29;;391.0377525;A
1999;00;C17;41;;595.1414761;A
1999;00;C17;C01;;3630.3593105;A
1999;00;C18;04;;1612.082804;A
1999;00;C18;11;;4096.4329086;A
1999;00;C18;14;;912.0880086;A
1999;00;C18;18;;1803.8813428;A
1999;00;C18;21;;357.7314912;A
1999;00;C18;23;;663.9252593;A
1999;00;C18;29;;4425.8883289;A
1999;00;C18;41;;1483.3943208;A
1999;00;C18;C01;;15355.4244642;A
1999;00;108;04;;140735.5588643;A
1999;00;108;11;;131875.6482954;A
1999;00;108;14;;303019.3544011;A
1999;00;108;18;;288541.6475556;A
1999;00;108;21;;61477.8236603;A
1999;00;108;23;;379768.8628222;A
1999;00;108;29;;149356.8843113;A
1999;00;108;41;;213391.8908155;A
1999;00;108;C01;;1668167.6707257;A
1999;01;C02;04;;820.4893585;A
1999;01;C02;11;;1264.2668726;A
