D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;06;C14;23;Andaluces;3504.0256702;A
1998;06;C14;29;Andaluces;915.9779551;A
1998;06;C14;41;Andaluces;1240.9854856;A
1998;06;C14;C01;Andaluces;20679.9863957;A
1998;06;C15;04;Andaluces;237.220346;A
1998;06;C15;11;Andaluces;603.5532565;A
1998;06;C15;14;Andaluces;670.1377962;A
1998;06;C15;18;Andaluces;766.7251169;A
1998;06;C15;21;Andaluces;83.9185706;A
1998;06;C15;23;Andaluces;3566.8685916;A
1998;06;C15;29;Andaluces;552.5037806;A
1998;06;C15;41;Andaluces;473.9497344;A
1998;06;C15;C01;Andaluces;6954.8771928;A
1998;06;C16;04;Andaluces;516.176174;A
1998;06;C16;11;Andaluces;2003.2854535;A
1998;06;C16;14;Andaluces;3759.1281672;A
1998;06;C16;18;Andaluces;3041.9974918;A
1998;06;C16;21;Andaluces;1368.8459081;A
1998;06;C16;23;Andaluces;5067.0564536;A
1998;06;C16;29;Andaluces;4322.7566723;A
1998;06;C16;41;Andaluces;2166.4131348;A
1998;06;C16;C01;Andaluces;22245.6594553;A
1998;06;C17;04;Andaluces;42.8594885;A
1998;06;C17;11;Andaluces;186.4191658;A
1998;06;C17;14;Andaluces;215.6040504;A
1998;06;C17;18;Andaluces;204.8989824;A
1998;06;C17;21;Andaluces;73.0239365;A
1998;06;C17;23;Andaluces;539.4842098;A
1998;06;C17;29;Andaluces;185.3072848;A
1998;06;C17;41;Andaluces;275.7215785;A
1998;06;C17;C01;Andaluces;1723.3186967;A
1998;06;C18;04;Andaluces;962.0;A
1998;06;C18;11;Andaluces;2006.0;A
1998;06;C18;14;Andaluces;409.0;A
1998;06;C18;18;Andaluces;933.0;A
1998;06;C18;21;Andaluces;179.0;A
1998;06;C18;23;Andaluces;308.0;A
1998;06;C18;29;Andaluces;2369.0;A
1998;06;C18;41;Andaluces;654.0;A
1998;06;C18;C01;Andaluces;7820.0;A
1998;06;108;04;Andaluces;77104.0917985;A
1998;06;108;11;Andaluces;67078.7194875;A
1998;06;108;14;Andaluces;158376.242486;A
1998;06;108;18;Andaluces;149627.0648932;A
1998;06;108;21;Andaluces;32543.5852608;A
1998;06;108;23;Andaluces;199240.4860894;A
1998;06;108;29;Andaluces;77733.1541579;A
1998;06;108;41;Andaluces;109389.6474678;A
1998;06;108;C01;Andaluces;871092.9916411;A
1999;00;C02;04;Andaluces;1711.1876714;A
1999;00;C02;11;Andaluces;2478.7696019;A
1999;00;C02;14;Andaluces;6853.9549624;A
1999;00;C02;18;Andaluces;4019.2454149;A
1999;00;C02;21;Andaluces;800.9698879;A
1999;00;C02;23;Andaluces;5794.6658519;A
1999;00;C02;29;Andaluces;2543.3863323;A
1999;00;C02;41;Andaluces;3314.3974215;A
1999;00;C02;C01;Andaluces;27516.5771442;A
1999;00;C03;04;Andaluces;434.9349072;A
1999;00;C03;11;Andaluces;913.9809662;A
1999;00;C03;14;Andaluces;3182.2617185;A
1999;00;C03;18;Andaluces;1786.7860212;A
1999;00;C03;21;Andaluces;574.8469878;A
1999;00;C03;23;Andaluces;3166.7147118;A
1999;00;C03;29;Andaluces;2080.4286742;A
1999;00;C03;41;Andaluces;1301.1984303;A
1999;00;C03;C01;Andaluces;13441.1524172;A
1999;00;C04;04;Andaluces;3233.7678404;A
1999;00;C04;11;Andaluces;8505.7126397;A
1999;00;C04;14;Andaluces;10806.0157607;A
1999;00;C04;18;Andaluces;25013.8649854;A
1999;00;C04;21;Andaluces;3394.209355;A
1999;00;C04;23;Andaluces;13684.4049789;A
1999;00;C04;29;Andaluces;5771.3645059;A
1999;00;C04;41;Andaluces;14442.1138665;A
1999;00;C04;C01;Andaluces;84851.4539325;A
1999;00;C05;04;Andaluces;1333.0582345;A
1999;00;C05;11;Andaluces;9799.6578206;A
1999;00;C05;14;Andaluces;3702.9054143;A
1999;00;C05;18;Andaluces;3847.8938799;A
1999;00;C05;21;Andaluces;1539.729544;A
1999;00;C05;23;Andaluces;2265.537442;A
1999;00;C05;29;Andaluces;4552.4524439;A
1999;00;C05;41;Andaluces;7193.3495193;A
1999;00;C05;C01;Andaluces;34234.5842985;A
1999;00;C06;04;Andaluces;149.1708395;A
1999;00;C06;11;Andaluces;1158.7218734;A
1999;00;C06;14;Andaluces;552.1568388;A
1999;00;C06;18;Andaluces;459.3517554;A
1999;00;C06;21;Andaluces;538.342189;A
1999;00;C06;23;Andaluces;846.6372581;A
1999;00;C06;29;Andaluces;790.7456906;A
1999;00;C06;41;Andaluces;744.0253819;A
1999;00;C06;C01;Andaluces;5239.1518267;A
