D_TEMPORAL_0;D_TERRITORIO_1;D_TERRITORIO_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2009;6604;C01;00;23;Andaluces;51.0;A
2009;6604;C01;00;29;Andaluces;127.0;A
2009;6604;C01;00;41;Andaluces;121.0;A
2009;6604;C01;00;C01;Andaluces;620.0;A
2009;6604;C01;00;C02;Andaluces;128.0;A
2009;6604;C01;00;66;Andaluces;657.0;A
2009;6604;C01;00;NC000;Andaluces;3.0;A
2009;6604;C01;00;00;Andaluces;1408.0;A
2009;6604;04;00;04;Andaluces;20.0;A
2009;6604;04;00;11;Andaluces;1.0;A
2009;6604;04;00;14;Andaluces;;A
2009;6604;04;00;18;Andaluces;1.0;A
2009;6604;04;00;21;Andaluces;;A
2009;6604;04;00;23;Andaluces;1.0;A
2009;6604;04;00;29;Andaluces;;A
2009;6604;04;00;41;Andaluces;;A
2009;6604;04;00;C01;Andaluces;23.0;A
2009;6604;04;00;C02;Andaluces;11.0;A
2009;6604;04;00;66;Andaluces;17.0;A
2009;6604;04;00;NC000;Andaluces;;A
2009;6604;04;00;00;Andaluces;51.0;A
2009;6604;11;00;04;Andaluces;;A
2009;6604;11;00;11;Andaluces;105.0;A
2009;6604;11;00;14;Andaluces;;A
2009;6604;11;00;18;Andaluces;5.0;A
2009;6604;11;00;21;Andaluces;;A
2009;6604;11;00;23;Andaluces;1.0;A
2009;6604;11;00;29;Andaluces;3.0;A
2009;6604;11;00;41;Andaluces;4.0;A
2009;6604;11;00;C01;Andaluces;118.0;A
2009;6604;11;00;C02;Andaluces;10.0;A
2009;6604;11;00;66;Andaluces;77.0;A
2009;6604;11;00;NC000;Andaluces;;A
2009;6604;11;00;00;Andaluces;205.0;A
2009;6604;14;00;04;Andaluces;;A
2009;6604;14;00;11;Andaluces;;A
2009;6604;14;00;14;Andaluces;33.0;A
2009;6604;14;00;18;Andaluces;;A
2009;6604;14;00;21;Andaluces;;A
2009;6604;14;00;23;Andaluces;;A
2009;6604;14;00;29;Andaluces;;A
2009;6604;14;00;41;Andaluces;;A
