D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;065069;01;11;Andaluces;3204.3248756;A
1998;065069;01;14;Andaluces;11617.8744014;A
1998;065069;01;18;Andaluces;10105.0811363;A
1998;065069;01;21;Andaluces;1995.1017619;A
1998;065069;01;23;Andaluces;15091.3018165;A
1998;065069;01;29;Andaluces;6122.6867203;A
1998;065069;01;41;Andaluces;6411.3540563;A
1998;065069;01;C01;Andaluces;61127.3912211;A
1998;065069;06;04;Andaluces;8038.7172494;A
1998;065069;06;11;Andaluces;3807.8535317;A
1998;065069;06;14;Andaluces;13666.8569521;A
1998;065069;06;18;Andaluces;11994.9047431;A
1998;065069;06;21;Andaluces;2388.634191;A
1998;065069;06;23;Andaluces;18061.084771;A
1998;065069;06;29;Andaluces;6635.1159208;A
1998;065069;06;41;Andaluces;7490.7934258;A
1998;065069;06;C01;Andaluces;72083.9607849;A
1998;070074;00;04;Andaluces;13309.9169988;A
1998;070074;00;11;Andaluces;5516.018443;A
1998;070074;00;14;Andaluces;19518.1406325;A
1998;070074;00;18;Andaluces;16864.6663278;A
1998;070074;00;21;Andaluces;3287.776344;A
1998;070074;00;23;Andaluces;25207.2702816;A
1998;070074;00;29;Andaluces;9876.264521;A
1998;070074;00;41;Andaluces;9860.6376655;A
1998;070074;00;C01;Andaluces;103440.6912142;A
1998;070074;01;04;Andaluces;5695.1531492;A
1998;070074;01;11;Andaluces;2319.6703753;A
1998;070074;01;14;Andaluces;8664.5830207;A
1998;070074;01;18;Andaluces;7486.7233356;A
1998;070074;01;21;Andaluces;1430.4923667;A
1998;070074;01;23;Andaluces;10915.5359874;A
1998;070074;01;29;Andaluces;4395.6331413;A
1998;070074;01;41;Andaluces;4228.9528759;A
1998;070074;01;C01;Andaluces;45136.7442521;A
1998;070074;06;04;Andaluces;7614.7638496;A
1998;070074;06;11;Andaluces;3196.3480677;A
1998;070074;06;14;Andaluces;10853.5576118;A
1998;070074;06;18;Andaluces;9377.9429922;A
1998;070074;06;21;Andaluces;1857.2839773;A
