TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2008-10;P;61593;ES61;277796;INDI_ORIG;116.597455493;M
2008-10;P;61594;ES61;277796;INDI_ORIG;107.597398744;M
2008-10;P;61595;ES61;277796;INDI_ORIG;123.096020984;M
2008-11;P;61592;ES61;277796;INDI_ORIG;116.595523892;M
2008-11;P;61593;ES61;277796;INDI_ORIG;116.323258023;M
2008-11;P;61594;ES61;277796;INDI_ORIG;107.83731524;M
2008-11;P;61595;ES61;277796;INDI_ORIG;122.558342045;M
2008-12;P;61592;ES61;277796;INDI_ORIG;114.129562297;M
2008-12;P;61593;ES61;277796;INDI_ORIG;114.317008014;M
2008-12;P;61594;ES61;277796;INDI_ORIG;106.650123001;M
2008-12;P;61595;ES61;277796;INDI_ORIG;119.335540743;M
2009-01;P;61592;ES61;277796;INDI_ORIG;115.505613027;M
2009-01;P;61593;ES61;277796;INDI_ORIG;115.599674632;M
2009-01;P;61594;ES61;277796;INDI_ORIG;110.740469911;M
2009-01;P;61595;ES61;277796;INDI_ORIG;121.386704295;M
2009-02;P;61592;ES61;277796;INDI_ORIG;112.822808531;M
2009-02;P;61593;ES61;277796;INDI_ORIG;112.973206427;M
2009-02;P;61594;ES61;277796;INDI_ORIG;106.228286104;M
2009-02;P;61595;ES61;277796;INDI_ORIG;117.982932228;M
2009-03;P;61592;ES61;277796;INDI_ORIG;112.946742178;M
2009-03;P;61593;ES61;277796;INDI_ORIG;113.258751013;M
2009-03;P;61594;ES61;277796;INDI_ORIG;106.213934624;M
2009-03;P;61595;ES61;277796;INDI_ORIG;117.428781481;M
2009-04;P;61592;ES61;277796;INDI_ORIG;112.508139602;M
2009-04;P;61593;ES61;277796;INDI_ORIG;112.396324951;M
2009-04;P;61594;ES61;277796;INDI_ORIG;108.188362791;M
2009-04;P;61595;ES61;277796;INDI_ORIG;117.136211076;M
2009-05;P;61592;ES61;277796;INDI_ORIG;111.681316262;M
2009-05;P;61593;ES61;277796;INDI_ORIG;111.994620607;M
2009-05;P;61594;ES61;277796;INDI_ORIG;105.296243664;M
2009-05;P;61595;ES61;277796;INDI_ORIG;116.433588317;M
2009-06;P;61592;ES61;277796;INDI_ORIG;111.231058248;M
2009-06;P;61593;ES61;277796;INDI_ORIG;111.353238067;M
2009-06;P;61594;ES61;277796;INDI_ORIG;106.544851368;M
2009-06;P;61595;ES61;277796;INDI_ORIG;115.170120622;M
2009-07;P;61592;ES61;277796;INDI_ORIG;112.017196066;M
2009-07;P;61593;ES61;277796;INDI_ORIG;112.355397319;M
2009-07;P;61594;ES61;277796;INDI_ORIG;106.443108173;M
2009-07;P;61595;ES61;277796;INDI_ORIG;116.66468103;M
2009-08;P;61592;ES61;277796;INDI_ORIG;111.472852896;M
2009-08;P;61593;ES61;277796;INDI_ORIG;111.542144874;M
2009-08;P;61594;ES61;277796;INDI_ORIG;104.153989849;M
2009-08;P;61595;ES61;277796;INDI_ORIG;116.650753435;M
2009-09;P;61592;ES61;277796;INDI_ORIG;111.748574169;M
2009-09;P;61593;ES61;277796;INDI_ORIG;112.030909277;M
2009-09;P;61594;ES61;277796;INDI_ORIG;106.946371852;M
2009-09;P;61595;ES61;277796;INDI_ORIG;115.96568408;M
2009-10;P;61592;ES61;277796;INDI_ORIG;110.740849864;M
2009-10;P;61593;ES61;277796;INDI_ORIG;111.035864567;M
2009-10;P;61594;ES61;277796;INDI_ORIG;105.544966544;M
2009-10;P;61595;ES61;277796;INDI_ORIG;113.95036236;M
2009-11;P;61592;ES61;277796;INDI_ORIG;110.218750534;M
2009-11;P;61593;ES61;277796;INDI_ORIG;110.91377663;M
2009-11;P;61594;ES61;277796;INDI_ORIG;105.102039779;M
2009-11;P;61595;ES61;277796;INDI_ORIG;114.87390243;M
2009-12;P;61592;ES61;277796;INDI_ORIG;112.427528258;M
2009-12;P;61593;ES61;277796;INDI_ORIG;112.73979164;M
2009-12;P;61594;ES61;277796;INDI_ORIG;106.437261674;M
2009-12;P;61595;ES61;277796;INDI_ORIG;118.725583126;M
2010-01;P;61592;ES61;277796;INDI_ORIG;110.699415567;M
2010-01;P;61593;ES61;277796;INDI_ORIG;111.04189222;M
2010-01;P;61594;ES61;277796;INDI_ORIG;103.763793436;M
2010-01;P;61595;ES61;277796;INDI_ORIG;115.204209178;M
2010-02;P;61592;ES61;277796;INDI_ORIG;111.699890571;M
2010-02;P;61593;ES61;277796;INDI_ORIG;111.704430804;M
2010-02;P;61594;ES61;277796;INDI_ORIG;107.760053358;M
2010-02;P;61595;ES61;277796;INDI_ORIG;116.18732102;M
2010-03;P;61592;ES61;277796;INDI_ORIG;111.288027554;M
2010-03;P;61593;ES61;277796;INDI_ORIG;111.337339591;M
2010-03;P;61594;ES61;277796;INDI_ORIG;107.054488612;M
2010-03;P;61595;ES61;277796;INDI_ORIG;116.607305259;M
2010-04;P;61592;ES61;277796;INDI_ORIG;109.628743413;M
2010-04;P;61593;ES61;277796;INDI_ORIG;109.336723026;M
2010-04;P;61594;ES61;277796;INDI_ORIG;100.631467519;M
2010-04;P;61595;ES61;277796;INDI_ORIG;114.843753007;M
2010-05;P;61592;ES61;277796;INDI_ORIG;111.005478528;M
2010-05;P;61593;ES61;277796;INDI_ORIG;110.792312811;M
2010-05;P;61594;ES61;277796;INDI_ORIG;105.280660661;M
2010-05;P;61595;ES61;277796;INDI_ORIG;115.922029037;M
2010-06;P;61592;ES61;277796;INDI_ORIG;110.564550475;M
2010-06;P;61593;ES61;277796;INDI_ORIG;110.414482415;M
2010-06;P;61594;ES61;277796;INDI_ORIG;104.574481813;M
2010-06;P;61595;ES61;277796;INDI_ORIG;116.243852079;M
2010-07;P;61592;ES61;277796;INDI_ORIG;109.349067239;M
2010-07;P;61593;ES61;277796;INDI_ORIG;109.324758699;M
2010-07;P;61594;ES61;277796;INDI_ORIG;104.150231224;M
2010-07;P;61595;ES61;277796;INDI_ORIG;112.387902192;M
2010-08;P;61592;ES61;277796;INDI_ORIG;109.371569019;M
2010-08;P;61593;ES61;277796;INDI_ORIG;109.378061205;M
2010-08;P;61594;ES61;277796;INDI_ORIG;103.47482857;M
2010-08;P;61595;ES61;277796;INDI_ORIG;113.067172856;M
2010-09;P;61592;ES61;277796;INDI_ORIG;109.698711993;M
2010-09;P;61593;ES61;277796;INDI_ORIG;109.435419157;M
2010-09;P;61594;ES61;277796;INDI_ORIG;105.070000588;M
2010-09;P;61595;ES61;277796;INDI_ORIG;112.645887433;M
2010-10;P;61592;ES61;277796;INDI_ORIG;110.003149565;M
2010-10;P;61593;ES61;277796;INDI_ORIG;109.748965762;M
2010-10;P;61594;ES61;277796;INDI_ORIG;104.633205651;M
2010-10;P;61595;ES61;277796;INDI_ORIG;113.948201908;M
2010-11;P;61592;ES61;277796;INDI_ORIG;108.285486113;M
2010-11;P;61593;ES61;277796;INDI_ORIG;107.882699494;M
2010-11;P;61594;ES61;277796;INDI_ORIG;103.440255403;M
2010-11;P;61595;ES61;277796;INDI_ORIG;111.599861523;M
2010-12;P;61592;ES61;277796;INDI_ORIG;107.82382616;M
