TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006-09;D;02;;INDI_CIFR_NEGO;120.236757847;M
2006-09;D;03;;INDI_CIFR_NEGO;131.299091013;M
2006-09;D;04;;INDI_CIFR_NEGO;110.884591833;M
2006-09;D;05;;INDI_CIFR_NEGO;142.036993226;M
2006-09;D;06;;INDI_CIFR_NEGO;116.581565746;M
2006-09;D;07;;INDI_CIFR_NEGO;152.38436341;M
2006-09;D;08;;INDI_CIFR_NEGO;163.509952268;M
2006-10;D;01;;INDI_CIFR_NEGO;126.427433179;M
2006-10;D;02;;INDI_CIFR_NEGO;125.162552083;M
2006-10;D;03;;INDI_CIFR_NEGO;129.934117411;M
2006-10;D;04;;INDI_CIFR_NEGO;112.324073244;M
2006-10;D;05;;INDI_CIFR_NEGO;124.233704625;M
2006-10;D;06;;INDI_CIFR_NEGO;121.457856263;M
2006-10;D;07;;INDI_CIFR_NEGO;169.966513596;M
2006-10;D;08;;INDI_CIFR_NEGO;154.197507677;M
2006-11;D;01;;INDI_CIFR_NEGO;125.975616684;M
2006-11;D;02;;INDI_CIFR_NEGO;127.694971513;M
2006-11;D;03;;INDI_CIFR_NEGO;121.950890765;M
2006-11;D;04;;INDI_CIFR_NEGO;112.519099;M
2006-11;D;05;;INDI_CIFR_NEGO;107.018213928;M
2006-11;D;06;;INDI_CIFR_NEGO;120.590948442;M
2006-11;D;07;;INDI_CIFR_NEGO;162.322128608;M
2006-11;D;08;;INDI_CIFR_NEGO;130.811160472;M
2006-12;D;01;;INDI_CIFR_NEGO;142.468432796;M
2006-12;D;02;;INDI_CIFR_NEGO;146.350868706;M
2006-12;D;03;;INDI_CIFR_NEGO;133.026571818;M
2006-12;D;04;;INDI_CIFR_NEGO;112.325179565;M
2006-12;D;05;;INDI_CIFR_NEGO;116.851177358;M
2006-12;D;06;;INDI_CIFR_NEGO;139.895964095;M
2006-12;D;07;;INDI_CIFR_NEGO;180.686699779;M
2006-12;D;08;;INDI_CIFR_NEGO;157.292501898;M
2007-01;D;01;;INDI_CIFR_NEGO;120.68095241;M
2007-01;D;02;;INDI_CIFR_NEGO;124.264354994;M
2007-01;D;03;;INDI_CIFR_NEGO;111.939384086;M
2007-01;D;04;;INDI_CIFR_NEGO;104.963875236;M
2007-01;D;05;;INDI_CIFR_NEGO;98.497489741;M
2007-01;D;06;;INDI_CIFR_NEGO;114.885887652;M
2007-01;D;07;;INDI_CIFR_NEGO;149.261453607;M
2007-01;D;08;;INDI_CIFR_NEGO;109.523596261;M
2007-02;D;01;;INDI_CIFR_NEGO;111.004243875;M
2007-02;D;02;;INDI_CIFR_NEGO;112.004114351;M
2007-02;D;03;;INDI_CIFR_NEGO;108.757737;M
2007-02;D;04;;INDI_CIFR_NEGO;102.167744536;M
2007-02;D;05;;INDI_CIFR_NEGO;98.850103012;M
2007-02;D;06;;INDI_CIFR_NEGO;114.443790279;M
2007-02;D;07;;INDI_CIFR_NEGO;139.207417476;M
2007-02;D;08;;INDI_CIFR_NEGO;103.57043349;M
2007-03;D;01;;INDI_CIFR_NEGO;134.50416216;M
2007-03;D;02;;INDI_CIFR_NEGO;137.504290087;M
2007-03;D;03;;INDI_CIFR_NEGO;127.268837212;M
