TEMPORAL;OBS_STATUS;IASS_TIPOVENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009-03;A;61755;ES61;INDICE_VAB;100.464774641;M
2009-03;A;61756;ES61;INDICE_VAB;101.179950072;M
2009-03;A;61757;ES61;INDICE_VAB;92.649207347;M
2009-03;A;61758;ES61;INDICE_VAB;123.328749465;M
2009-03;A;61759;ES61;INDICE_VAB;102.158719461;M
2009-03;A;61760;ES61;INDICE_VAB;123.018441017;M
2009-04;A;61753;ES61;INDICE_VAB;105.017153437;M
2009-04;A;61754;ES61;INDICE_VAB;106.573374737;M
2009-04;A;61755;ES61;INDICE_VAB;104.792666848;M
2009-04;A;61756;ES61;INDICE_VAB;102.964275871;M
2009-04;A;61757;ES61;INDICE_VAB;103.963325042;M
2009-04;A;61758;ES61;INDICE_VAB;118.083048622;M
2009-04;A;61759;ES61;INDICE_VAB;108.17542311;M
2009-04;A;61760;ES61;INDICE_VAB;120.47934158;M
2009-05;A;61753;ES61;INDICE_VAB;103.807695377;M
2009-05;A;61754;ES61;INDICE_VAB;102.448805008;M
2009-05;A;61755;ES61;INDICE_VAB;105.291179226;M
2009-05;A;61756;ES61;INDICE_VAB;103.961663126;M
2009-05;A;61757;ES61;INDICE_VAB;103.585342457;M
2009-05;A;61758;ES61;INDICE_VAB;115.504021934;M
2009-05;A;61759;ES61;INDICE_VAB;111.792276712;M
2009-05;A;61760;ES61;INDICE_VAB;122.650240709;M
2009-06;A;61753;ES61;INDICE_VAB;107.718201503;M
2009-06;A;61754;ES61;INDICE_VAB;106.694989311;M
2009-06;A;61755;ES61;INDICE_VAB;109.028904314;M
2009-06;A;61756;ES61;INDICE_VAB;104.738627798;M
2009-06;A;61757;ES61;INDICE_VAB;107.4943828;M
2009-06;A;61758;ES61;INDICE_VAB;121.642631337;M
2009-06;A;61759;ES61;INDICE_VAB;113.248379719;M
2009-06;A;61760;ES61;INDICE_VAB;133.404655062;M
2009-07;A;61753;ES61;INDICE_VAB;116.527237578;M
2009-07;A;61754;ES61;INDICE_VAB;118.106107678;M
2009-07;A;61755;ES61;INDICE_VAB;116.365754637;M
2009-07;A;61756;ES61;INDICE_VAB;107.434565547;M
2009-07;A;61757;ES61;INDICE_VAB;123.049634163;M
2009-07;A;61758;ES61;INDICE_VAB;120.71466379;M
2009-07;A;61759;ES61;INDICE_VAB;121.853429807;M
