D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPOVENTAS_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2008-09;40123;61594;3143;277795;Índice original;107.56824898;M
2008-09;40123;61595;3143;277795;Índice original;124.02098605;M
2008-10;40123;61592;3143;277795;Índice original;118.87449704;M
2008-10;40123;61593;3143;277795;Índice original;117.97178413;M
2008-10;40123;61594;3143;277795;Índice original;108.96655671;M
2008-10;40123;61595;3143;277795;Índice original;124.94876193;M
2008-11;40123;61592;3143;277795;Índice original;111.92880482;M
2008-11;40123;61593;3143;277795;Índice original;111.65484124;M
2008-11;40123;61594;3143;277795;Índice original;102.34831985;M
2008-11;40123;61595;3143;277795;Índice original;118.86404011;M
2008-12;40123;61592;3143;277795;Índice original;136.71653297;M
2008-12;40123;61593;3143;277795;Índice original;138.49820871;M
2008-12;40123;61594;3143;277795;Índice original;126.63597731;M
2008-12;40123;61595;3143;277795;Índice original;147.68671038;M
2009-01;40123;61592;3143;277795;Índice original;117.82567783;M
2009-01;40123;61593;3143;277795;Índice original;118.9532853;M
2009-01;40123;61594;3143;277795;Índice original;103.10977022;M
2009-01;40123;61595;3143;277795;Índice original;131.21789577;M
2009-02;40123;61592;3143;277795;Índice original;95.38890257;M
2009-02;40123;61593;3143;277795;Índice original;95.36167533;M
2009-02;40123;61594;3143;277795;Índice original;91.83408293;M
2009-02;40123;61595;3143;277795;Índice original;98.10055268;M
2009-03;40123;61592;3143;277795;Índice original;108.02936243;M
2009-03;40123;61593;3143;277795;Índice original;108.12399886;M
2009-03;40123;61594;3143;277795;Índice original;103.42723292;M
2009-03;40123;61595;3143;277795;Índice original;111.76841479;M
2009-04;40123;61592;3143;277795;Índice original;108.45205774;M
2009-04;40123;61593;3143;277795;Índice original;108.39175986;M
2009-04;40123;61594;3143;277795;Índice original;106.62807246;M
2009-04;40123;61595;3143;277795;Índice original;109.76828559;M
2009-05;40123;61592;3143;277795;Índice original;107.87605921;M
2009-05;40123;61593;3143;277795;Índice original;107.43773848;M
2009-05;40123;61594;3143;277795;Índice original;102.5768246;M
2009-05;40123;61595;3143;277795;Índice original;111.20899621;M
2009-06;40123;61592;3143;277795;Índice original;111.09879683;M
2009-06;40123;61593;3143;277795;Índice original;110.93493549;M
2009-06;40123;61594;3143;277795;Índice original;106.18557152;M
2009-06;40123;61595;3143;277795;Índice original;114.62035343;M
2009-07;40123;61592;3143;277795;Índice original;122.2402174;M
2009-07;40123;61593;3143;277795;Índice original;122.17061336;M
2009-07;40123;61594;3143;277795;Índice original;113.93407637;M
2009-07;40123;61595;3143;277795;Índice original;128.55371853;M
2009-08;40123;61592;3143;277795;Índice original;109.0395124;M
2009-08;40123;61593;3143;277795;Índice original;108.55202163;M
2009-08;40123;61594;3143;277795;Índice original;109.15907471;M
2009-08;40123;61595;3143;277795;Índice original;108.09545681;M
2009-09;40123;61592;3143;277795;Índice original;110.61315159;M
2009-09;40123;61593;3143;277795;Índice original;110.92437787;M
2009-09;40123;61594;3143;277795;Índice original;106.67489475;M
2009-09;40123;61595;3143;277795;Índice original;114.22327552;M
2009-10;40123;61592;3143;277795;Índice original;111.80459999;M
2009-10;40123;61593;3143;277795;Índice original;112.11016997;M
2009-10;40123;61594;3143;277795;Índice original;108.15562069;M
2009-10;40123;61595;3143;277795;Índice original;115.18115826;M
2009-11;40123;61592;3143;277795;Índice original;105.15044551;M
2009-11;40123;61593;3143;277795;Índice original;105.306817;M
2009-11;40123;61594;3143;277795;Índice original;99.06399428;M
2009-11;40123;61595;3143;277795;Índice original;110.1463458;M
2009-12;40123;61592;3143;277795;Índice original;135.94311982;M
2009-12;40123;61593;3143;277795;Índice original;137.8283354;M
2009-12;40123;61594;3143;277795;Índice original;126.24789037;M
2009-12;40123;61595;3143;277795;Índice original;146.79887443;M
2010-01;40123;61592;3143;277795;Índice original;110.68959876;M
2010-01;40123;61593;3143;277795;Índice original;111.19751603;M
2010-01;40123;61594;3143;277795;Índice original;94.51138265;M
2010-01;40123;61595;3143;277795;Índice original;124.11274169;M
2010-02;40123;61592;3143;277795;Índice original;95.39764933;M
2010-02;40123;61593;3143;277795;Índice original;95.46405217;M
2010-02;40123;61594;3143;277795;Índice original;93.09529953;M
2010-02;40123;61595;3143;277795;Índice original;97.30690083;M
2010-03;40123;61592;3143;277795;Índice original;109.63320509;M
2010-03;40123;61593;3143;277795;Índice original;109.66187812;M
2010-03;40123;61594;3143;277795;Índice original;106.18481486;M
2010-03;40123;61595;3143;277795;Índice original;112.36337436;M
2010-04;40123;61592;3143;277795;Índice original;104.77873163;M
2010-04;40123;61593;3143;277795;Índice original;104.46084829;M
2010-04;40123;61594;3143;277795;Índice original;100.08296309;M
2010-04;40123;61595;3143;277795;Índice original;107.85826583;M
2010-05;40123;61592;3143;277795;Índice original;107.93229964;M
2010-05;40123;61593;3143;277795;Índice original;107.38358167;M
2010-05;40123;61594;3143;277795;Índice original;102.0057274;M
2010-05;40123;61595;3143;277795;Índice original;111.55454286;M
2010-06;40123;61592;3143;277795;Índice original;111.57874854;M
2010-06;40123;61593;3143;277795;Índice original;111.39772894;M
2010-06;40123;61594;3143;277795;Índice original;104.02341226;M
