D_TEMPORAL_0;D_ESTADO_DATO_0;D_ICMA_TIPINDOCUPAC_0;D_TERRITORIO_0;D_IVGS_SERIEIVGS_0;INDICATOR;OBS_VALUE;FREQ
2011-06;40123;61596;3143;277795;Índice de empleo;105.6506392;M
2011-06;40123;61597;3143;277795;Índice de empleo;105.51817219;M
2011-07;40123;61596;3143;277795;Índice de empleo;106.50551911;M
2011-07;40123;61597;3143;277795;Índice de empleo;106.33440257;M
2011-08;40123;61596;3143;277795;Índice de empleo;106.51684381;M
2011-08;40123;61597;3143;277795;Índice de empleo;106.37116857;M
2011-09;40123;61596;3143;277795;Índice de empleo;105.61441274;M
2011-09;40123;61597;3143;277795;Índice de empleo;105.52205888;M
2011-10;40123;61596;3143;277795;Índice de empleo;104.34761656;M
2011-10;40123;61597;3143;277795;Índice de empleo;104.34273799;M
2011-11;40123;61596;3143;277795;Índice de empleo;105.38110114;M
2011-11;40123;61597;3143;277795;Índice de empleo;105.41920356;M
2011-12;40123;61596;3143;277795;Índice de empleo;105.69887091;M
2011-12;40123;61597;3143;277795;Índice de empleo;105.73468261;M
2012-01;40123;61596;3143;277795;Índice de empleo;103.43520517;M
2012-01;40123;61597;3143;277795;Índice de empleo;103.39589373;M
2012-02;40123;61596;3143;277795;Índice de empleo;102.04418158;M
2012-02;40123;61597;3143;277795;Índice de empleo;101.94739639;M
2012-03;40123;61596;3143;277795;Índice de empleo;101.60875896;M
2012-03;40123;61597;3143;277795;Índice de empleo;101.48784202;M
2012-04;40123;61596;3143;277795;Índice de empleo;101.14429073;M
2012-04;40123;61597;3143;277795;Índice de empleo;101.0543594;M
2012-05;40123;61596;3143;277795;Índice de empleo;101.46074195;M
2012-05;40123;61597;3143;277795;Índice de empleo;101.3074979;M
2012-06;40123;61596;3143;277795;Índice de empleo;102.25843414;M
2012-06;40123;61597;3143;277795;Índice de empleo;102.099242;M
2012-07;40123;61596;3143;277795;Índice de empleo;103.16996202;M
2012-07;40123;61597;3143;277795;Índice de empleo;103.01063059;M
2012-08;40123;61596;3143;277795;Índice de empleo;102.72003285;M
2012-08;40123;61597;3143;277795;Índice de empleo;102.45265848;M
2012-09;40123;61596;3143;277795;Índice de empleo;101.41538166;M
2012-09;40123;61597;3143;277795;Índice de empleo;101.20721209;M
2012-10;40123;61596;3143;277795;Índice de empleo;100.94930473;M
2012-10;40123;61597;3143;277795;Índice de empleo;100.7918742;M
2012-11;40123;61596;3143;277795;Índice de empleo;100.58146048;M
2012-11;40123;61597;3143;277795;Índice de empleo;100.44521885;M
2012-12;40123;61596;3143;277795;Índice de empleo;101.9403605;M
2012-12;40123;61597;3143;277795;Índice de empleo;101.87327811;M
2013-01;40123;61596;3143;277795;Índice de empleo;98.96594339;M
2013-01;40123;61597;3143;277795;Índice de empleo;98.85906086;M
2013-02;40123;61596;3143;277795;Índice de empleo;98.84334407;M
2013-02;40123;61597;3143;277795;Índice de empleo;98.75707197;M
2013-03;40123;61596;3143;277795;Índice de empleo;98.47979293;M
2013-03;40123;61597;3143;277795;Índice de empleo;98.36781184;M
2013-04;40123;61596;3143;277795;Índice de empleo;98.22252336;M
2013-04;40123;61597;3143;277795;Índice de empleo;98.10701116;M
2013-05;40123;61596;3143;277795;Índice de empleo;98.74057885;M
2013-05;40123;61597;3143;277795;Índice de empleo;98.57733389;M
2013-06;40123;61596;3143;277795;Índice de empleo;99.544277;M
2013-06;40123;61597;3143;277795;Índice de empleo;99.37847511;M
2013-07;40123;61596;3143;277795;Índice de empleo;100.04187382;M
2013-07;40123;61597;3143;277795;Índice de empleo;99.79096158;M
2013-08;40123;61596;3143;277795;Índice de empleo;100.01071558;M
2013-08;40123;61597;3143;277795;Índice de empleo;99.78717852;M
2013-09;40123;61596;3143;277795;Índice de empleo;98.43376047;M
2013-09;40123;61597;3143;277795;Índice de empleo;98.2279116;M
2013-10;40123;61596;3143;277795;Índice de empleo;97.82400167;M
2013-10;40123;61597;3143;277795;Índice de empleo;97.69794465;M
2013-11;40123;61596;3143;277795;Índice de empleo;98.33980517;M
2013-11;40123;61597;3143;277795;Índice de empleo;98.27061487;M
2013-12;40123;61596;3143;277795;Índice de empleo;99.24280079;M
2013-12;40123;61597;3143;277795;Índice de empleo;99.21725819;M
2014-01;40123;61596;3143;277795;Índice de empleo;97.89162509;M
2014-01;40123;61597;3143;277795;Índice de empleo;97.84982207;M
2014-02;40123;61596;3143;277795;Índice de empleo;97.3551439;M
2014-02;40123;61597;3143;277795;Índice de empleo;97.33735638;M
2014-03;40123;61596;3143;277795;Índice de empleo;97.52636112;M
2014-03;40123;61597;3143;277795;Índice de empleo;97.46005912;M
2014-04;40123;61596;3143;277795;Índice de empleo;97.93206126;M
2014-04;40123;61597;3143;277795;Índice de empleo;97.81527821;M
2014-05;40123;61596;3143;277795;Índice de empleo;98.8216835;M
