TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;139398.4322669;A
;;;;ANDALUCES;29149.8669651;A
;;;;ANDALUCES;182231.8159998;A
;;;;ANDALUCES;72360.1473955;A
;;;;ANDALUCES;102548.4060918;A
;;;;ANDALUCES;799046.37037;A
;;;;ANDALUCES;890.4811896;A
;;;;ANDALUCES;1241.304196;A
;;;;ANDALUCES;3470.7803716;A
;;;;ANDALUCES;2032.4167407;A
;;;;ANDALUCES;409.8712297;A
;;;;ANDALUCES;2916.0339127;A
;;;;ANDALUCES;1232.6504263;A
;;;;ANDALUCES;1643.2231236;A
;;;;ANDALUCES;13836.7611902;A
;;;;ANDALUCES;234.3753598;A
;;;;ANDALUCES;499.5912529;A
;;;;ANDALUCES;1653.5289527;A
;;;;ANDALUCES;912.6774224;A
;;;;ANDALUCES;314.5772201;A
;;;;ANDALUCES;1657.930046;A
;;;;ANDALUCES;1068.992257;A
;;;;ANDALUCES;673.8637453;A
;;;;ANDALUCES;7015.5362562;A
;;;;ANDALUCES;1542.9755759;A
;;;;ANDALUCES;3711.9893594;A
;;;;ANDALUCES;5174.7409934;A
;;;;ANDALUCES;12125.9889537;A
;;;;ANDALUCES;1635.6741994;A
;;;;ANDALUCES;6691.1837443;A
;;;;ANDALUCES;2781.7207987;A
;;;;ANDALUCES;6745.4926608;A
;;;;ANDALUCES;40409.7662856;A
;;;;ANDALUCES;565.7631936;A
;;;;ANDALUCES;4063.1327748;A
;;;;ANDALUCES;1524.5096199;A
;;;;ANDALUCES;1578.7192728;A
;;;;ANDALUCES;682.6090479;A
;;;;ANDALUCES;912.5486992;A
;;;;ANDALUCES;1947.0490348;A
;;;;ANDALUCES;2771.5574049;A
;;;;ANDALUCES;14045.8890479;A
;;;;ANDALUCES;76.0;A
;;;;ANDALUCES;618.0379642;A
;;;;ANDALUCES;290.0455924;A
;;;;ANDALUCES;214.0294389;A
;;;;ANDALUCES;282.0;A
;;;;ANDALUCES;430.0379642;A
;;;;ANDALUCES;373.9952229;A
;;;;ANDALUCES;392.0072504;A
;;;;ANDALUCES;2676.153433;A
;;;;ANDALUCES;640.4112602;A
;;;;ANDALUCES;1197.6589708;A
;;;;ANDALUCES;3982.3086319;A
;;;;ANDALUCES;1651.6007608;A
;;;;ANDALUCES;545.475396;A
;;;;ANDALUCES;5073.801746;A
;;;;ANDALUCES;1079.3030221;A
;;;;ANDALUCES;1667.2464569;A
;;;;ANDALUCES;15837.8062447;A
;;;;ANDALUCES;455.0857171;A
;;;;ANDALUCES;1199.7309376;A
;;;;ANDALUCES;1592.6754274;A
;;;;ANDALUCES;1236.2517306;A
;;;;ANDALUCES;546.90542;A
;;;;ANDALUCES;2018.228416;A
;;;;ANDALUCES;1054.6472494;A
;;;;ANDALUCES;1482.1396657;A
;;;;ANDALUCES;9585.6645638;A
;;;;ANDALUCES;50262.2756222;A
;;;;ANDALUCES;23258.6403096;A
;;;;ANDALUCES;76895.5903925;A
;;;;ANDALUCES;83060.664409;A
;;;;ANDALUCES;15217.5772051;A
;;;;ANDALUCES;76999.9128604;A
;;;;ANDALUCES;38515.9001081;A
;;;;ANDALUCES;54285.4422675;A
;;;;ANDALUCES;418496.0031744;A
;;;;ANDALUCES;8840.6469925;A
;;;;ANDALUCES;7931.375474;A
;;;;ANDALUCES;19568.8428521;A
;;;;ANDALUCES;21303.5546403;A
;;;;ANDALUCES;2337.4586992;A
;;;;ANDALUCES;37767.8073912;A
;;;;ANDALUCES;7489.4724911;A
;;;;ANDALUCES;11032.0741882;A
;;;;ANDALUCES;116271.2327286;A
;;;;ANDALUCES;230.3387262;A
;;;;ANDALUCES;986.7701172;A
;;;;ANDALUCES;1740.1407022;A
;;;;ANDALUCES;703.4496059;A
;;;;ANDALUCES;1262.1641326;A
;;;;ANDALUCES;882.6470615;A
;;;;ANDALUCES;628.8546759;A
;;;;ANDALUCES;3049.2291654;A
;;;;ANDALUCES;9483.5941869;A
;;;;ANDALUCES;240.5030175;A
;;;;ANDALUCES;1528.5655847;A
;;;;ANDALUCES;510.0750776;A
;;;;ANDALUCES;492.0024627;A
;;;;ANDALUCES;383.7524023;A
;;;;ANDALUCES;562.8230657;A
;;;;ANDALUCES;597.5758716;A
;;;;ANDALUCES;781.8783514;A
;;;;ANDALUCES;5097.1758335;A
;;;;ANDALUCES;5348.0102455;A
;;;;ANDALUCES;14671.6687644;A
;;;;ANDALUCES;35467.1243531;A
;;;;ANDALUCES;13475.0613461;A
;;;;ANDALUCES;6937.7354281;A
;;;;ANDALUCES;50342.096257;A
;;;;ANDALUCES;12617.4473072;A
;;;;ANDALUCES;20054.4232544;A
;;;;ANDALUCES;158913.5669558;A
;;;;ANDALUCES;6018.9688899;A
;;;;ANDALUCES;1370.9959061;A
;;;;ANDALUCES;1452.0095054;A
;;;;ANDALUCES;5894.0265182;A
;;;;ANDALUCES;282.9964652;A
;;;;ANDALUCES;3504.0256702;A
;;;;ANDALUCES;915.9779551;A
;;;;ANDALUCES;1240.9854856;A
;;;;ANDALUCES;20679.9863957;A
;;;;ANDALUCES;237.220346;A
;;;;ANDALUCES;603.5532565;A
;;;;ANDALUCES;670.1377962;A
;;;;ANDALUCES;766.7251169;A
;;;;ANDALUCES;83.9185706;A
