TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;7027.0456392;A
;;;;ANDALUCES;11968.3691026;A
;;;;ANDALUCES;88819.700192;A
;;;;ANDALUCES;6061.2199918;A
;;;;ANDALUCES;7147.6282302;A
;;;;ANDALUCES;16878.0643053;A
;;;;ANDALUCES;16922.301366;A
;;;;ANDALUCES;3486.4364963;A
;;;;ANDALUCES;20438.4710001;A
;;;;ANDALUCES;6879.2405465;A
;;;;ANDALUCES;12136.1609467;A
;;;;ANDALUCES;89949.5228829;A
;;;;ANDALUCES;14311.022977;A
;;;;ANDALUCES;12799.871464;A
;;;;ANDALUCES;36010.7923943;A
;;;;ANDALUCES;35462.8940812;A
;;;;ANDALUCES;7218.041494;A
;;;;ANDALUCES;44867.0877449;A
;;;;ANDALUCES;16737.8200975;A
;;;;ANDALUCES;23890.7564414;A
;;;;ANDALUCES;191298.2866943;A
;;;;ANDALUCES;7016.6148087;A
;;;;ANDALUCES;6469.1058198;A
;;;;ANDALUCES;18042.9892709;A
;;;;ANDALUCES;17751.9059922;A
;;;;ANDALUCES;3596.6604435;A
;;;;ANDALUCES;22350.7016702;A
;;;;ANDALUCES;8448.8408631;A
;;;;ANDALUCES;11881.5580791;A
;;;;ANDALUCES;95558.3769475;A
;;;;ANDALUCES;7294.4081683;A
;;;;ANDALUCES;6330.7656442;A
;;;;ANDALUCES;17967.8031234;A
;;;;ANDALUCES;17710.988089;A
;;;;ANDALUCES;3621.3810505;A
;;;;ANDALUCES;22516.3860747;A
;;;;ANDALUCES;8288.9792344;A
;;;;ANDALUCES;12009.1983623;A
;;;;ANDALUCES;95739.9097468;A
;;;;ANDALUCES;13509.1174019;A
;;;;ANDALUCES;12270.2188888;A
;;;;ANDALUCES;36783.6463104;A
;;;;ANDALUCES;31378.2078138;A
;;;;ANDALUCES;7404.4596992;A
;;;;ANDALUCES;42804.0673019;A
;;;;ANDALUCES;18151.4643502;A
;;;;ANDALUCES;23809.4056573;A
;;;;ANDALUCES;186110.5874235;A
;;;;ANDALUCES;6546.3975062;A
;;;;ANDALUCES;6169.7855319;A
;;;;ANDALUCES;18364.1107082;A
;;;;ANDALUCES;15791.7080493;A
;;;;ANDALUCES;3630.7503018;A
;;;;ANDALUCES;21581.0238551;A
;;;;ANDALUCES;8961.3511496;A
;;;;ANDALUCES;11778.5284413;A
;;;;ANDALUCES;92823.6555434;A
;;;;ANDALUCES;6962.7198957;A
;;;;ANDALUCES;6100.4333569;A
;;;;ANDALUCES;18419.5356022;A
;;;;ANDALUCES;15586.4997645;A
;;;;ANDALUCES;3773.7093974;A
;;;;ANDALUCES;21223.0434468;A
;;;;ANDALUCES;9190.1132006;A
;;;;ANDALUCES;12030.877216;A
;;;;ANDALUCES;93286.9318801;A
;;;;ANDALUCES;12246.0295608;A
;;;;ANDALUCES;8907.6676371;A
;;;;ANDALUCES;27896.4563894;A
;;;;ANDALUCES;23870.646918;A
;;;;ANDALUCES;5204.8542146;A
;;;;ANDALUCES;34970.3244166;A
;;;;ANDALUCES;13320.5842475;A
;;;;ANDALUCES;17228.7463927;A
;;;;ANDALUCES;143645.3097767;A
;;;;ANDALUCES;5947.3987146;A
;;;;ANDALUCES;4493.9939291;A
;;;;ANDALUCES;13902.3037391;A
;;;;ANDALUCES;12043.967316;A
;;;;ANDALUCES;2586.6531356;A
;;;;ANDALUCES;17546.5208448;A
;;;;ANDALUCES;6686.9707899;A
;;;;ANDALUCES;8597.1037526;A
;;;;ANDALUCES;71804.9122217;A
;;;;ANDALUCES;6298.6308462;A
;;;;ANDALUCES;4413.673708;A
;;;;ANDALUCES;13994.1526503;A
;;;;ANDALUCES;11826.679602;A
;;;;ANDALUCES;2618.201079;A
;;;;ANDALUCES;17423.8035718;A
;;;;ANDALUCES;6633.6134576;A
;;;;ANDALUCES;8631.6426401;A
;;;;ANDALUCES;71840.397555;A
;;;;ANDALUCES;15562.8899481;A
;;;;ANDALUCES;7986.33347;A
;;;;ANDALUCES;28567.8253223;A
;;;;ANDALUCES;26217.6390878;A
;;;;ANDALUCES;5370.0825867;A
;;;;ANDALUCES;37720.048313;A
;;;;ANDALUCES;14475.14931;A
;;;;ANDALUCES;16792.3226747;A
;;;;ANDALUCES;152692.2907126;A
;;;;ANDALUCES;7374.9750788;A
;;;;ANDALUCES;3762.2334307;A
;;;;ANDALUCES;13767.9066517;A
;;;;ANDALUCES;12707.4425613;A
;;;;ANDALUCES;2643.8823474;A
;;;;ANDALUCES;18236.631359;A
;;;;ANDALUCES;6966.6274721;A
;;;;ANDALUCES;8089.4592867;A
;;;;ANDALUCES;73549.1581877;A
;;;;ANDALUCES;8187.9148693;A
;;;;ANDALUCES;4224.1000393;A
;;;;ANDALUCES;14799.9186706;A
;;;;ANDALUCES;13510.1965265;A
;;;;ANDALUCES;2726.2002393;A
;;;;ANDALUCES;19483.416954;A
;;;;ANDALUCES;7508.5218379;A
;;;;ANDALUCES;8702.863388;A
;;;;ANDALUCES;79143.1325249;A
;;;;ANDALUCES;14618.3837022;A
;;;;ANDALUCES;7012.1784073;A
;;;;ANDALUCES;25284.7313535;A
;;;;ANDALUCES;22099.9858794;A
;;;;ANDALUCES;4383.7359529;A
;;;;ANDALUCES;33152.3865875;A
;;;;ANDALUCES;12757.8026411;A
;;;;ANDALUCES;13902.1474821;A
;;;;ANDALUCES;133211.352006;A
;;;;ANDALUCES;6579.6664528;A
;;;;ANDALUCES;3204.3248756;A
;;;;ANDALUCES;11617.8744014;A
;;;;ANDALUCES;10105.0811363;A
;;;;ANDALUCES;1995.1017619;A
;;;;ANDALUCES;15091.3018165;A
;;;;ANDALUCES;6122.6867203;A
;;;;ANDALUCES;6411.3540563;A
;;;;ANDALUCES;61127.3912211;A
;;;;ANDALUCES;8038.7172494;A
;;;;ANDALUCES;3807.8535317;A
;;;;ANDALUCES;13666.8569521;A
;;;;ANDALUCES;11994.9047431;A
;;;;ANDALUCES;2388.634191;A
;;;;ANDALUCES;18061.084771;A
;;;;ANDALUCES;6635.1159208;A
;;;;ANDALUCES;7490.7934258;A
;;;;ANDALUCES;72083.9607849;A
;;;;ANDALUCES;13309.9169988;A
;;;;ANDALUCES;5516.018443;A
;;;;ANDALUCES;19518.1406325;A
;;;;ANDALUCES;16864.6663278;A
;;;;ANDALUCES;3287.776344;A
;;;;ANDALUCES;25207.2702816;A
;;;;ANDALUCES;9876.264521;A
;;;;ANDALUCES;9860.6376655;A
;;;;ANDALUCES;103440.6912142;A
;;;;ANDALUCES;5695.1531492;A
;;;;ANDALUCES;2319.6703753;A
;;;;ANDALUCES;8664.5830207;A
;;;;ANDALUCES;7486.7233356;A
;;;;ANDALUCES;1430.4923667;A
;;;;ANDALUCES;10915.5359874;A
;;;;ANDALUCES;4395.6331413;A
;;;;ANDALUCES;4228.9528759;A
;;;;ANDALUCES;45136.7442521;A
;;;;ANDALUCES;7614.7638496;A
;;;;ANDALUCES;3196.3480677;A
;;;;ANDALUCES;10853.5576118;A
;;;;ANDALUCES;9377.9429922;A
;;;;ANDALUCES;1857.2839773;A
;;;;ANDALUCES;14291.7342942;A
;;;;ANDALUCES;5480.6313797;A
;;;;ANDALUCES;5631.6847896;A
;;;;ANDALUCES;58303.9469621;A
;;;;ANDALUCES;9719.5699547;A
;;;;ANDALUCES;4191.7915862;A
;;;;ANDALUCES;13646.8234135;A
;;;;ANDALUCES;11209.1822876;A
;;;;ANDALUCES;2830.2064046;A
;;;;ANDALUCES;16971.5883351;A
;;;;ANDALUCES;6829.503143;A
;;;;ANDALUCES;6739.3198998;A
;;;;ANDALUCES;72137.9850245;A
