TEMPORAL;TERRITORIO_1;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;4845.0;A
;;;;;ANDALUCES;101.0;A
;;;;;ANDALUCES;11274.0;A
;;;;;ANDALUCES;236.0;A
;;;;;ANDALUCES;16456.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;2382.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;12.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;2486.0;A
;;;;;ANDALUCES;188.0;A
;;;;;ANDALUCES;3451.0;A
;;;;;ANDALUCES;58.0;A
;;;;;ANDALUCES;6183.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1258.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;1288.0;A
;;;;;ANDALUCES;45.0;A
;;;;;ANDALUCES;1829.0;A
;;;;;ANDALUCES;34.0;A
;;;;;ANDALUCES;3196.0;A
;;;;;ANDALUCES;24.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;8.0;A
;;;;;ANDALUCES;5497.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;30.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;5595.0;A
;;;;;ANDALUCES;156.0;A
;;;;;ANDALUCES;11518.0;A
;;;;;ANDALUCES;357.0;A
;;;;;ANDALUCES;17626.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;437.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;452.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;721.0;A
;;;;;ANDALUCES;9.0;A
;;;;;ANDALUCES;1215.0;A
;;;;;ANDALUCES;2.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;996.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1016.0;A
;;;;;ANDALUCES;36.0;A
;;;;;ANDALUCES;1720.0;A
;;;;;ANDALUCES;64.0;A
;;;;;ANDALUCES;2836.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;34.0;A
;;;;;ANDALUCES;34.0;A
;;;;;ANDALUCES;36.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;13.0;A
;;;;;ANDALUCES;3398.0;A
;;;;;ANDALUCES;28.0;A
;;;;;ANDALUCES;3557.0;A
;;;;;ANDALUCES;384.0;A
;;;;;ANDALUCES;9292.0;A
;;;;;ANDALUCES;215.0;A
;;;;;ANDALUCES;13448.0;A
;;;;;ANDALUCES;16.0;A
;;;;;ANDALUCES;61.0;A
;;;;;ANDALUCES;27.0;A
;;;;;ANDALUCES;24.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;14.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;2780.0;A
;;;;;ANDALUCES;2978.0;A
;;;;;ANDALUCES;252.0;A
;;;;;ANDALUCES;5077.0;A
;;;;;ANDALUCES;158.0;A
;;;;;ANDALUCES;8465.0;A
;;;;;ANDALUCES;21.0;A
;;;;;ANDALUCES;113.0;A
;;;;;ANDALUCES;42.0;A
;;;;;ANDALUCES;126.0;A
;;;;;ANDALUCES;19.0;A
;;;;;ANDALUCES;51.0;A
;;;;;ANDALUCES;127.0;A
;;;;;ANDALUCES;121.0;A
;;;;;ANDALUCES;620.0;A
;;;;;ANDALUCES;128.0;A
;;;;;ANDALUCES;657.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;1408.0;A
;;;;;ANDALUCES;20.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;23.0;A
;;;;;ANDALUCES;11.0;A
;;;;;ANDALUCES;17.0;A
;;;;;ANDALUCES;51.0;A
;;;;;ANDALUCES;105.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;3.0;A
;;;;;ANDALUCES;4.0;A
;;;;;ANDALUCES;118.0;A
;;;;;ANDALUCES;10.0;A
;;;;;ANDALUCES;77.0;A
;;;;;ANDALUCES;205.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;33.0;A
;;;;;ANDALUCES;6.0;A
;;;;;ANDALUCES;29.0;A
;;;;;ANDALUCES;68.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;113.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;5.0;A
;;;;;ANDALUCES;1.0;A
;;;;;ANDALUCES;123.0;A
