TEMPORAL;LUGARNACIMIEN;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;1692.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;32.0;A
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;5064.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;65.0;A
;;;;ANDALUCES;5462.0;A
;;;;ANDALUCES;1869.0;A
;;;;ANDALUCES;7331.0;A
;;;;ANDALUCES;10.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;23.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2480.0;A
;;;;ANDALUCES;46.0;A
;;;;ANDALUCES;34.0;A
;;;;ANDALUCES;2671.0;A
;;;;ANDALUCES;879.0;A
;;;;ANDALUCES;3550.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;27.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;2584.0;A
;;;;ANDALUCES;53.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;2791.0;A
;;;;ANDALUCES;990.0;A
;;;;ANDALUCES;3781.0;A
;;;;ANDALUCES;32.0;A
;;;;ANDALUCES;172.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;77.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;12249.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;12674.0;A
;;;;ANDALUCES;1328.0;A
;;;;ANDALUCES;14002.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;87.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;5967.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;6170.0;A
;;;;ANDALUCES;612.0;A
;;;;ANDALUCES;6782.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;85.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;46.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;6282.0;A
;;;;ANDALUCES;57.0;A
;;;;ANDALUCES;6504.0;A
;;;;ANDALUCES;716.0;A
;;;;ANDALUCES;7220.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;230.0;A
;;;;ANDALUCES;66.0;A
;;;;ANDALUCES;51.0;A
;;;;ANDALUCES;72.0;A
;;;;ANDALUCES;13.0;A
;;;;ANDALUCES;172.0;A
;;;;ANDALUCES;11074.0;A
;;;;ANDALUCES;11699.0;A
;;;;ANDALUCES;1467.0;A
;;;;ANDALUCES;13166.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;99.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;39.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;91.0;A
;;;;ANDALUCES;5294.0;A
;;;;ANDALUCES;5586.0;A
;;;;ANDALUCES;723.0;A
;;;;ANDALUCES;6309.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;131.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;81.0;A
;;;;ANDALUCES;5780.0;A
;;;;ANDALUCES;6113.0;A
;;;;ANDALUCES;744.0;A
;;;;ANDALUCES;6857.0;A
;;;;ANDALUCES;10452.0;A
;;;;ANDALUCES;11022.0;A
;;;;ANDALUCES;8167.0;A
;;;;ANDALUCES;14893.0;A
;;;;ANDALUCES;2811.0;A
;;;;ANDALUCES;5186.0;A
;;;;ANDALUCES;13223.0;A
;;;;ANDALUCES;11851.0;A
;;;;ANDALUCES;77605.0;A
;;;;ANDALUCES;10884.0;A
;;;;ANDALUCES;88489.0;A
;;;;ANDALUCES;5016.0;A
;;;;ANDALUCES;5213.0;A
;;;;ANDALUCES;4077.0;A
;;;;ANDALUCES;7272.0;A
;;;;ANDALUCES;1398.0;A
;;;;ANDALUCES;2542.0;A
;;;;ANDALUCES;6433.0;A
;;;;ANDALUCES;5676.0;A
;;;;ANDALUCES;37627.0;A
;;;;ANDALUCES;5289.0;A
;;;;ANDALUCES;42916.0;A
;;;;ANDALUCES;5436.0;A
;;;;ANDALUCES;5809.0;A
;;;;ANDALUCES;4090.0;A
;;;;ANDALUCES;7621.0;A
;;;;ANDALUCES;1413.0;A
;;;;ANDALUCES;2644.0;A
;;;;ANDALUCES;6790.0;A
;;;;ANDALUCES;6175.0;A
;;;;ANDALUCES;39978.0;A
;;;;ANDALUCES;5595.0;A
;;;;ANDALUCES;45573.0;A
;;;;ANDALUCES;10242.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;74.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;38.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;10429.0;A
;;;;ANDALUCES;1109.0;A
;;;;ANDALUCES;11538.0;A
;;;;ANDALUCES;4900.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;23.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;4992.0;A
;;;;ANDALUCES;573.0;A
;;;;ANDALUCES;5565.0;A
;;;;ANDALUCES;5342.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;48.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;5437.0;A
;;;;ANDALUCES;536.0;A
;;;;ANDALUCES;5973.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;10549.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;36.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;278.0;A
;;;;ANDALUCES;224.0;A
;;;;ANDALUCES;11133.0;A
;;;;ANDALUCES;1226.0;A
;;;;ANDALUCES;12359.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;5009.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;131.0;A
;;;;ANDALUCES;114.0;A
;;;;ANDALUCES;5300.0;A
;;;;ANDALUCES;585.0;A
;;;;ANDALUCES;5885.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;5540.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;147.0;A
;;;;ANDALUCES;110.0;A
;;;;ANDALUCES;5833.0;A
;;;;ANDALUCES;641.0;A
;;;;ANDALUCES;6474.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;45.0;A
;;;;ANDALUCES;7920.0;A
;;;;ANDALUCES;44.0;A
;;;;ANDALUCES;15.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;207.0;A
;;;;ANDALUCES;138.0;A
;;;;ANDALUCES;8417.0;A
;;;;ANDALUCES;1699.0;A
;;;;ANDALUCES;10116.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;3968.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;95.0;A
;;;;ANDALUCES;76.0;A
;;;;ANDALUCES;4216.0;A
;;;;ANDALUCES;793.0;A
;;;;ANDALUCES;5009.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;3952.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;12.0;A
;;;;ANDALUCES;112.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;4201.0;A
;;;;ANDALUCES;906.0;A
;;;;ANDALUCES;5107.0;A
;;;;ANDALUCES;129.0;A
;;;;ANDALUCES;59.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;14595.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;49.0;A
;;;;ANDALUCES;195.0;A
;;;;ANDALUCES;78.0;A
;;;;ANDALUCES;15153.0;A
;;;;ANDALUCES;1765.0;A
;;;;ANDALUCES;16918.0;A
;;;;ANDALUCES;61.0;A
;;;;ANDALUCES;29.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;7139.0;A
;;;;ANDALUCES;2.0;A
;;;;ANDALUCES;21.0;A
;;;;ANDALUCES;82.0;A
;;;;ANDALUCES;38.0;A
;;;;ANDALUCES;7390.0;A
;;;;ANDALUCES;900.0;A
;;;;ANDALUCES;8290.0;A
;;;;ANDALUCES;68.0;A
;;;;ANDALUCES;30.0;A
;;;;ANDALUCES;24.0;A
;;;;ANDALUCES;7456.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;28.0;A
;;;;ANDALUCES;113.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;7763.0;A
;;;;ANDALUCES;865.0;A
;;;;ANDALUCES;8628.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;2716.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;166.0;A
;;;;ANDALUCES;2949.0;A
;;;;ANDALUCES;430.0;A
;;;;ANDALUCES;3379.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;1338.0;A
;;;;ANDALUCES;1.0;A
;;;;ANDALUCES;7.0;A
;;;;ANDALUCES;73.0;A
;;;;ANDALUCES;1440.0;A
;;;;ANDALUCES;215.0;A
;;;;ANDALUCES;1655.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;16.0;A
;;;;ANDALUCES;6.0;A
