TEMPORAL;TERRITORIO;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
;;;;ANDALUCES;50.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;66.0;A
;;;;ANDALUCES;8167.0;A
;;;;ANDALUCES;387.0;A
;;;;ANDALUCES;6904.0;A
;;;;ANDALUCES;205.0;A
;;;;ANDALUCES;15663.0;A
;;;;ANDALUCES;8.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;3976.0;A
;;;;ANDALUCES;19.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;23.0;A
;;;;ANDALUCES;11.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;4077.0;A
;;;;ANDALUCES;177.0;A
;;;;ANDALUCES;3531.0;A
;;;;ANDALUCES;103.0;A
;;;;ANDALUCES;7888.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;3966.0;A
;;;;ANDALUCES;25.0;A
;;;;ANDALUCES;6.0;A
;;;;ANDALUCES;27.0;A
;;;;ANDALUCES;14.0;A
;;;;ANDALUCES;40.0;A
;;;;ANDALUCES;4090.0;A
;;;;ANDALUCES;210.0;A
;;;;ANDALUCES;3373.0;A
;;;;ANDALUCES;102.0;A
;;;;ANDALUCES;7775.0;A
;;;;ANDALUCES;75.0;A
;;;;ANDALUCES;42.0;A
;;;;ANDALUCES;35.0;A
;;;;ANDALUCES;14478.0;A
;;;;ANDALUCES;9.0;A
;;;;ANDALUCES;126.0;A
;;;;ANDALUCES;77.0;A
;;;;ANDALUCES;51.0;A
;;;;ANDALUCES;14893.0;A
;;;;ANDALUCES;757.0;A
;;;;ANDALUCES;20135.0;A
;;;;ANDALUCES;582.0;A
;;;;ANDALUCES;36367.0;A
;;;;ANDALUCES;26.0;A
;;;;ANDALUCES;22.0;A
;;;;ANDALUCES;17.0;A
;;;;ANDALUCES;7092.0;A
;;;;ANDALUCES;4.0;A
;;;;ANDALUCES;62.0;A
;;;;ANDALUCES;31.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;7272.0;A
;;;;ANDALUCES;344.0;A
;;;;ANDALUCES;9867.0;A
;;;;ANDALUCES;302.0;A
;;;;ANDALUCES;17785.0;A
;;;;ANDALUCES;49.0;A
;;;;ANDALUCES;20.0;A
;;;;ANDALUCES;18.0;A
;;;;ANDALUCES;7386.0;A
;;;;ANDALUCES;5.0;A
;;;;ANDALUCES;64.0;A
;;;;ANDALUCES;46.0;A
;;;;ANDALUCES;33.0;A
;;;;ANDALUCES;7621.0;A
;;;;ANDALUCES;413.0;A
;;;;ANDALUCES;10268.0;A
;;;;ANDALUCES;280.0;A
;;;;ANDALUCES;18582.0;A
;;;;ANDALUCES;3.0;A
;;;;ANDALUCES;16.0;A
