TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ
2015;C01;00;DIVORCIOS;17029.5907;A
2015;C01;1;DIVORCIOS;408.4571;A
2015;C01;2;DIVORCIOS;7475.2695;A
2015;C01;3;DIVORCIOS;1483.341;A
2015;C01;4;DIVORCIOS;24.6436;A
2015;C01;NP;DIVORCIOS;7637.8795;A
2015;04;00;DIVORCIOS;1398.5163;A
2015;04;1;DIVORCIOS;31.572;A
2015;04;2;DIVORCIOS;601.4466;A
2015;04;3;DIVORCIOS;77.3514;A
2015;04;4;DIVORCIOS;6.3144;A
2015;04;NP;DIVORCIOS;681.8319;A
2015;11;00;DIVORCIOS;2355.5567;A
2015;11;1;DIVORCIOS;71.721;A
2015;11;2;DIVORCIOS;1099.722;A
2015;11;3;DIVORCIOS;183.287;A
2015;11;4;DIVORCIOS;1.5938;A
2015;11;NP;DIVORCIOS;999.2329;A
2015;14;00;DIVORCIOS;1621.987;A
2015;14;1;DIVORCIOS;22.3425;A
2015;14;2;DIVORCIOS;618.1425;A
2015;14;3;DIVORCIOS;305.3475;A
2015;14;4;DIVORCIOS;1.4895;A
2015;14;NP;DIVORCIOS;674.665;A
2015;18;00;DIVORCIOS;1864.9266;A
2015;18;1;DIVORCIOS;61.884;A
2015;18;2;DIVORCIOS;740.889;A
2015;18;3;DIVORCIOS;213.156;A
2015;18;4;DIVORCIOS;6.876;A
2015;18;NP;DIVORCIOS;842.1216;A
2015;21;00;DIVORCIOS;1022.9657;A
2015;21;1;DIVORCIOS;31.2039;A
2015;21;2;DIVORCIOS;524.5227;A
2015;21;3;DIVORCIOS;62.4078;A
2015;21;4;DIVORCIOS;1.4859;A
2015;21;NP;DIVORCIOS;403.3454;A
2015;23;00;DIVORCIOS;1197.5493;A
2015;23;1;DIVORCIOS;36.4584;A
2015;23;2;DIVORCIOS;516.494;A
2015;23;3;DIVORCIOS;101.7797;A
2015;23;NP;DIVORCIOS;542.8172;A
2015;29;00;DIVORCIOS;3560.4711;A
2015;29;1;DIVORCIOS;77.1265;A
2015;29;2;DIVORCIOS;1448.5759;A
2015;29;3;DIVORCIOS;229.9772;A
2015;29;4;DIVORCIOS;2.8046;A
2015;29;NP;DIVORCIOS;1801.9869;A
2015;41;00;DIVORCIOS;4007.618;A
2015;41;1;DIVORCIOS;76.1488;A
2015;41;2;DIVORCIOS;1925.4768;A
2015;41;3;DIVORCIOS;310.0344;A
2015;41;4;DIVORCIOS;4.0794;A
2015;41;NP;DIVORCIOS;1691.8786;A
2014;C01;00;DIVORCIOS;17376.98787;A
2014;C01;1;DIVORCIOS;404.16361;A
2014;C01;2;DIVORCIOS;8422.29921;A
2014;C01;3;DIVORCIOS;1086.24678;A
2014;C01;4;DIVORCIOS;36.11287;A
2014;C01;NP;DIVORCIOS;7428.1654;A
2014;04;00;DIVORCIOS;1315.503;A
2014;04;1;DIVORCIOS;38.151;A
2014;04;2;DIVORCIOS;633.024;A
2014;04;3;DIVORCIOS;72.063;A
2014;04;4;DIVORCIOS;1.413;A
2014;04;NP;DIVORCIOS;570.852;A
2014;11;00;DIVORCIOS;2485.68082;A
2014;11;1;DIVORCIOS;54.10188;A
2014;11;2;DIVORCIOS;1226.30928;A
2014;11;3;DIVORCIOS;193.86507;A
2014;11;4;DIVORCIOS;7.51415;A
2014;11;NP;DIVORCIOS;1003.89044;A
2014;14;00;DIVORCIOS;1712.10316;A
2014;14;1;DIVORCIOS;48.29863;A
2014;14;2;DIVORCIOS;852.72064;A
2014;14;3;DIVORCIOS;89.93538;A
2014;14;4;DIVORCIOS;3.33094;A
2014;14;NP;DIVORCIOS;717.81757;A
2014;18;00;DIVORCIOS;1848.68385;A
2014;18;1;DIVORCIOS;50.12865;A
2014;18;2;DIVORCIOS;879.52995;A
2014;18;3;DIVORCIOS;129.11925;A
2014;18;4;DIVORCIOS;4.55715;A
2014;18;NP;DIVORCIOS;785.34885;A
2014;21;00;DIVORCIOS;1140.17566;A
2014;21;1;DIVORCIOS;31.12142;A
2014;21;2;DIVORCIOS;621.01379;A
2014;21;3;DIVORCIOS;65.07206;A
2014;21;4;DIVORCIOS;1.41461;A
2014;21;NP;DIVORCIOS;421.55378;A
2014;23;00;DIVORCIOS;1180.1112;A
2014;23;1;DIVORCIOS;24.9526;A
2014;23;2;DIVORCIOS;607.6692;A
2014;23;3;DIVORCIOS;67.5188;A
2014;23;4;DIVORCIOS;1.4678;A
2014;23;NP;DIVORCIOS;478.5028;A
2014;29;00;DIVORCIOS;3567.8708;A
2014;29;1;DIVORCIOS;72.45225;A
2014;29;2;DIVORCIOS;1600.3897;A
2014;29;3;DIVORCIOS;193.206;A
2014;29;4;DIVORCIOS;4.83015;A
2014;29;NP;DIVORCIOS;1696.9927;A
2014;41;00;DIVORCIOS;4126.85938;A
2014;41;1;DIVORCIOS;84.95718;A
2014;41;2;DIVORCIOS;2001.64265;A
2014;41;3;DIVORCIOS;275.46722;A
2014;41;4;DIVORCIOS;11.58507;A
2014;41;NP;DIVORCIOS;1753.20726;A
2013;C01;00;DIVORCIOS;16473.17478;A
2013;C01;1;DIVORCIOS;408.44832;A
2013;C01;2;DIVORCIOS;7891.05951;A
2013;C01;3;DIVORCIOS;922.83164;A
2013;C01;4;DIVORCIOS;30.76155;A
2013;C01;NP;DIVORCIOS;7220.07376;A
2013;04;00;DIVORCIOS;1267.4696;A
2013;04;1;DIVORCIOS;31.1942;A
2013;04;2;DIVORCIOS;510.5998;A
2013;04;3;DIVORCIOS;116.5678;A
2013;04;4;DIVORCIOS;1.6418;A
2013;04;NP;DIVORCIOS;607.466;A
2013;11;00;DIVORCIOS;2358.7305;A
2013;11;1;DIVORCIOS;54.20685;A
2013;11;2;DIVORCIOS;1141.27395;A
2013;11;3;DIVORCIOS;150.90015;A
2013;11;4;DIVORCIOS;2.9301;A
2013;11;NP;DIVORCIOS;1009.41945;A
2013;14;00;DIVORCIOS;1452.76866;A
2013;14;1;DIVORCIOS;42.05026;A
2013;14;2;DIVORCIOS;739.2707;A
2013;14;3;DIVORCIOS;59.68424;A
2013;14;4;DIVORCIOS;2.71292;A
2013;14;NP;DIVORCIOS;609.05054;A
2013;18;00;DIVORCIOS;1822.15704;A
2013;18;1;DIVORCIOS;61.37505;A
2013;18;2;DIVORCIOS;878.34516;A
2013;18;3;DIVORCIOS;77.74173;A
2013;18;4;DIVORCIOS;4.09167;A
2013;18;NP;DIVORCIOS;800.60343;A
2013;21;00;DIVORCIOS;995.33511;A
2013;21;1;DIVORCIOS;34.47048;A
2013;21;2;DIVORCIOS;492.64061;A
2013;21;3;DIVORCIOS;34.47048;A
2013;21;4;DIVORCIOS;1.43627;A
2013;21;NP;DIVORCIOS;432.31727;A
2013;23;00;DIVORCIOS;1155.71547;A
2013;23;1;DIVORCIOS;22.57808;A
2013;23;2;DIVORCIOS;554.57409;A
2013;23;3;DIVORCIOS;67.73424;A
2013;23;4;DIVORCIOS;4.23339;A
2013;23;NP;DIVORCIOS;506.59567;A
2013;29;00;DIVORCIOS;3581.6334;A
2013;29;1;DIVORCIOS;77.5494;A
2013;29;2;DIVORCIOS;1675.9287;A
2013;29;3;DIVORCIOS;193.8735;A
2013;29;4;DIVORCIOS;5.7444;A
2013;29;NP;DIVORCIOS;1628.5374;A
2013;41;00;DIVORCIOS;3839.365;A
2013;41;1;DIVORCIOS;85.024;A
2013;41;2;DIVORCIOS;1898.4265;A
2013;41;3;DIVORCIOS;221.8595;A
2013;41;4;DIVORCIOS;7.971;A
2013;41;NP;DIVORCIOS;1626.084;A
2012;C01;00;DIVORCIOS;19100.05171;A
2012;C01;1;DIVORCIOS;921.13843;A
2012;C01;2;DIVORCIOS;9086.29046;A
2012;C01;3;DIVORCIOS;757.45712;A
2012;C01;4;DIVORCIOS;57.49162;A
2012;C01;NP;DIVORCIOS;8277.67408;A
2012;04;00;DIVORCIOS;1673.28115;A
2012;04;1;DIVORCIOS;72.22676;A
2012;04;2;DIVORCIOS;743.24091;A
2012;04;3;DIVORCIOS;58.89033;A
2012;04;4;DIVORCIOS;4.88613;A
2012;04;NP;DIVORCIOS;794.03702;A
2012;11;00;DIVORCIOS;2751.43454;A
2012;11;1;DIVORCIOS;98.60454;A
2012;11;2;DIVORCIOS;1388.50168;A
2012;11;3;DIVORCIOS;71.711;A
2012;11;NP;DIVORCIOS;1192.61732;A
2012;14;00;DIVORCIOS;1519.27045;A
2012;14;1;DIVORCIOS;74.13726;A
2012;14;2;DIVORCIOS;712.95915;A
2012;14;3;DIVORCIOS;51.37428;A
2012;14;4;DIVORCIOS;3.36138;A
2012;14;NP;DIVORCIOS;677.43838;A
2012;18;00;DIVORCIOS;2194.10578;A
2012;18;1;DIVORCIOS;53.80998;A
2012;18;2;DIVORCIOS;1129.7353;A
2012;18;3;DIVORCIOS;108.10692;A
2012;18;4;DIVORCIOS;4.32532;A
2012;18;NP;DIVORCIOS;898.12826;A
2012;21;00;DIVORCIOS;1090.26737;A
2012;21;1;DIVORCIOS;82.51772;A
2012;21;2;DIVORCIOS;536.25886;A
2012;21;3;DIVORCIOS;34.88886;A
2012;21;4;DIVORCIOS;1.38016;A
2012;21;NP;DIVORCIOS;435.22177;A
2012;23;00;DIVORCIOS;1282.34085;A
2012;23;1;DIVORCIOS;33.68789;A
2012;23;2;DIVORCIOS;652.21769;A
2012;23;3;DIVORCIOS;36.88057;A
2012;23;4;DIVORCIOS;10.07522;A
2012;23;NP;DIVORCIOS;549.47948;A
2012;29;00;DIVORCIOS;4090.46015;A
2012;29;1;DIVORCIOS;199.22993;A
2012;29;2;DIVORCIOS;1851.2963;A
2012;29;3;DIVORCIOS;177.071;A
2012;29;4;DIVORCIOS;10.23833;A
2012;29;NP;DIVORCIOS;1852.62459;A
2012;41;00;DIVORCIOS;4498.89142;A
2012;41;1;DIVORCIOS;306.92435;A
2012;41;2;DIVORCIOS;2072.08057;A
2012;41;3;DIVORCIOS;218.53416;A
2012;41;4;DIVORCIOS;23.22508;A
2012;41;NP;DIVORCIOS;1878.12726;A
2011;C01;00;DIVORCIOS;18257.58564089;A
2011;C01;1;DIVORCIOS;466.42685669;A
2011;C01;2;DIVORCIOS;9132.30887594;A
2011;C01;3;DIVORCIOS;762.26395284;A
2011;C01;4;DIVORCIOS;50.53662143;A
2011;C01;NP;DIVORCIOS;7846.04933399;A
2011;04;00;DIVORCIOS;1426.82187464;A
2011;04;1;DIVORCIOS;158.05278008;A
2011;04;2;DIVORCIOS;632.51038614;A
2011;04;3;DIVORCIOS;45.65696522;A
2011;04;4;DIVORCIOS;7.07533328;A
2011;04;NP;DIVORCIOS;583.52640992;A
2011;11;00;DIVORCIOS;2822.48660103;A
2011;11;1;DIVORCIOS;24.41874951;A
2011;11;2;DIVORCIOS;1448.8048699;A
2011;11;3;DIVORCIOS;138.81229135;A
2011;11;4;DIVORCIOS;8.13958317;A
2011;11;NP;DIVORCIOS;1202.3111071;A
2011;14;00;DIVORCIOS;1607.8291226;A
2011;14;1;DIVORCIOS;37.20233286;A
2011;14;2;DIVORCIOS;832.32715984;A
2011;14;3;DIVORCIOS;42.16081364;A
2011;14;4;DIVORCIOS;1.61994096;A
2011;14;NP;DIVORCIOS;694.5188753;A
2011;18;00;DIVORCIOS;2058.63585768;A
2011;18;1;DIVORCIOS;24.59173372;A
2011;18;2;DIVORCIOS;1025.27890992;A
2011;18;3;DIVORCIOS;61.27902572;A
2011;18;4;DIVORCIOS;4.61690328;A
2011;18;NP;DIVORCIOS;942.86928504;A
2011;21;00;DIVORCIOS;976.40048302;A
2011;21;1;DIVORCIOS;25.35884998;A
2011;21;2;DIVORCIOS;524.42902814;A
2011;21;3;DIVORCIOS;54.27337469;A
