TEMPORAL;TERRITORIO;NACIONACONYUGES;INDICATOR;OBS_VALUE;FREQ
2018;18;3;DIVORCIOS;49.9544;A
2018;18;30;DIVORCIOS;47.2165;A
2018;18;4;DIVORCIOS;39.8034;A
2018;18;5;DIVORCIOS;7.4131;A
2018;21;00;DIVORCIOS;986.218;A
2018;21;11;DIVORCIOS;902.256;A
2018;21;10;DIVORCIOS;902.256;A
2018;21;1;DIVORCIOS;902.256;A
2018;21;22;DIVORCIOS;83.962;A
2018;21;20;DIVORCIOS;65.614;A
2018;21;2;DIVORCIOS;47.153;A
2018;21;3;DIVORCIOS;18.461;A
2018;21;30;DIVORCIOS;18.348;A
2018;21;4;DIVORCIOS;12.232;A
2018;21;5;DIVORCIOS;6.116;A
2018;23;00;DIVORCIOS;1108.2069;A
2018;23;11;DIVORCIOS;1060.2113;A
2018;23;10;DIVORCIOS;1060.2113;A
2018;23;1;DIVORCIOS;1060.2113;A
2018;23;22;DIVORCIOS;47.9956;A
2018;23;20;DIVORCIOS;41.0677;A
2018;23;2;DIVORCIOS;19.153;A
2018;23;3;DIVORCIOS;21.9147;A
2018;23;30;DIVORCIOS;6.9279;A
2018;23;4;DIVORCIOS;6.9279;A
2018;29;00;DIVORCIOS;3718.358;A
2018;29;11;DIVORCIOS;2958.0385;A
2018;29;10;DIVORCIOS;2958.0385;A
2018;29;1;DIVORCIOS;2958.0385;A
2018;29;22;DIVORCIOS;760.3195;A
2018;29;20;DIVORCIOS;507.8219;A
2018;29;2;DIVORCIOS;211.8609;A
2018;29;3;DIVORCIOS;295.961;A
2018;29;30;DIVORCIOS;252.4976;A
2018;29;4;DIVORCIOS;152.2384;A
2018;29;5;DIVORCIOS;100.2592;A
2018;41;00;DIVORCIOS;4085.2617;A
2018;41;11;DIVORCIOS;3845.8833;A
2018;41;10;DIVORCIOS;3845.8833;A
2018;41;1;DIVORCIOS;3845.8833;A
2018;41;22;DIVORCIOS;239.3784;A
2018;41;20;DIVORCIOS;182.3609;A
2018;41;2;DIVORCIOS;84.7634;A
2018;41;3;DIVORCIOS;97.5975;A
2018;41;30;DIVORCIOS;57.0175;A
2018;41;4;DIVORCIOS;46.2073;A
2018;41;5;DIVORCIOS;10.8102;A
2017;C01;00;DIVORCIOS;17436.6101;A
2017;C01;11;DIVORCIOS;15730.167;A
2017;C01;10;DIVORCIOS;15730.167;A
2017;C01;1;DIVORCIOS;15730.167;A
2017;C01;22;DIVORCIOS;1706.4431;A
2017;C01;20;DIVORCIOS;1258.9772;A
2017;C01;2;DIVORCIOS;652.5236;A
2017;C01;3;DIVORCIOS;606.4536;A
2017;C01;30;DIVORCIOS;447.4659;A
2017;C01;4;DIVORCIOS;302.8462;A
2017;C01;5;DIVORCIOS;144.6197;A
2017;04;00;DIVORCIOS;1454.7143;A
2017;04;11;DIVORCIOS;1118.7922;A
2017;04;10;DIVORCIOS;1118.7922;A
2017;04;1;DIVORCIOS;1118.7922;A
2017;04;22;DIVORCIOS;335.9221;A
2017;04;20;DIVORCIOS;214.3138;A
2017;04;2;DIVORCIOS;126.1172;A
2017;04;3;DIVORCIOS;88.1966;A
2017;04;30;DIVORCIOS;121.6083;A
2017;04;4;DIVORCIOS;75.6988;A
2017;04;5;DIVORCIOS;45.9095;A
2017;11;00;DIVORCIOS;2406.3281;A
2017;11;11;DIVORCIOS;2261.2608;A
2017;11;10;DIVORCIOS;2261.2608;A
2017;11;1;DIVORCIOS;2261.2608;A
2017;11;22;DIVORCIOS;145.0673;A
2017;11;20;DIVORCIOS;114.7099;A
2017;11;2;DIVORCIOS;61.8585;A
2017;11;3;DIVORCIOS;52.8514;A
2017;11;30;DIVORCIOS;30.3574;A
2017;11;4;DIVORCIOS;25.282;A
2017;11;5;DIVORCIOS;5.0754;A
2017;14;00;DIVORCIOS;1426.032;A
2017;14;11;DIVORCIOS;1357.9605;A
2017;14;10;DIVORCIOS;1357.9605;A
2017;14;1;DIVORCIOS;1357.9605;A
2017;14;22;DIVORCIOS;68.0715;A
2017;14;20;DIVORCIOS;54.3645;A
2017;14;2;DIVORCIOS;28.447;A
2017;14;3;DIVORCIOS;25.9175;A
2017;14;30;DIVORCIOS;13.707;A
2017;14;4;DIVORCIOS;12.184;A
2017;14;5;DIVORCIOS;1.523;A
2017;18;00;DIVORCIOS;1990.6668;A
2017;18;11;DIVORCIOS;1846.5006;A
2017;18;10;DIVORCIOS;1846.5006;A
2017;18;1;DIVORCIOS;1846.5006;A
2017;18;22;DIVORCIOS;144.1662;A
2017;18;20;DIVORCIOS;112.812;A
2017;18;2;DIVORCIOS;65.099;A
2017;18;3;DIVORCIOS;47.713;A
2017;18;30;DIVORCIOS;31.3542;A
2017;18;4;DIVORCIOS;24.9332;A
2017;18;5;DIVORCIOS;6.421;A
2017;21;00;DIVORCIOS;1060.4795;A
2017;21;11;DIVORCIOS;1005.5401;A
2017;21;10;DIVORCIOS;1005.5401;A
2017;21;1;DIVORCIOS;1005.5401;A
2017;21;22;DIVORCIOS;54.9394;A
2017;21;20;DIVORCIOS;42.4815;A
2017;21;2;DIVORCIOS;32.0044;A
2017;21;3;DIVORCIOS;10.4771;A
2017;21;30;DIVORCIOS;12.4579;A
2017;21;4;DIVORCIOS;5.9424;A
2017;21;5;DIVORCIOS;6.5155;A
2017;23;00;DIVORCIOS;1127.8821;A
2017;23;11;DIVORCIOS;1085.5227;A
2017;23;10;DIVORCIOS;1085.5227;A
2017;23;1;DIVORCIOS;1085.5227;A
2017;23;22;DIVORCIOS;42.3594;A
2017;23;20;DIVORCIOS;40.3122;A
2017;23;2;DIVORCIOS;14.8022;A
2017;23;3;DIVORCIOS;25.51;A
2017;23;30;DIVORCIOS;2.0472;A
2017;23;4;DIVORCIOS;2.0472;A
2017;29;00;DIVORCIOS;3652.1307;A
