TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2015;23;23;DIVORCIOS;4.5573;A
2015;23;2;DIVORCIOS;3.0382;A
2015;23;3;DIVORCIOS;1.5191;A
2015;29;00;DIVORCIOS;3560.4711;A
2015;29;1;DIVORCIOS;3522.1752;A
2015;29;23;DIVORCIOS;38.2959;A
2015;29;2;DIVORCIOS;18.042;A
2015;29;3;DIVORCIOS;20.2539;A
2015;41;00;DIVORCIOS;4007.618;A
2015;41;1;DIVORCIOS;3986.8162;A
2015;41;23;DIVORCIOS;20.8018;A
2015;41;2;DIVORCIOS;11.2832;A
2015;41;3;DIVORCIOS;9.5186;A
2014;C01;00;DIVORCIOS;17376.98787;A
2014;C01;1;DIVORCIOS;17266.97361;A
2014;C01;23;DIVORCIOS;110.01426;A
2014;C01;2;DIVORCIOS;67.64096;A
2014;C01;3;DIVORCIOS;42.3733;A
2014;04;00;DIVORCIOS;1315.503;A
2014;04;1;DIVORCIOS;1308.438;A
2014;04;23;DIVORCIOS;7.065;A
2014;04;2;DIVORCIOS;2.826;A
2014;04;3;DIVORCIOS;4.239;A
2014;11;00;DIVORCIOS;2485.68082;A
2014;11;1;DIVORCIOS;2470.65252;A
2014;11;23;DIVORCIOS;15.0283;A
2014;11;2;DIVORCIOS;7.51415;A
2014;11;3;DIVORCIOS;7.51415;A
2014;14;00;DIVORCIOS;1712.10316;A
2014;14;1;DIVORCIOS;1705.44128;A
2014;14;23;DIVORCIOS;6.66188;A
2014;14;2;DIVORCIOS;3.33094;A
2014;14;3;DIVORCIOS;3.33094;A
2014;18;00;DIVORCIOS;1848.68385;A
2014;18;1;DIVORCIOS;1831.9743;A
2014;18;23;DIVORCIOS;16.70955;A
2014;18;2;DIVORCIOS;13.67145;A
2014;18;3;DIVORCIOS;3.0381;A
2014;21;00;DIVORCIOS;1140.17566;A
2014;21;1;DIVORCIOS;1133.10261;A
2014;21;23;DIVORCIOS;7.07305;A
2014;21;2;DIVORCIOS;4.24383;A
2014;21;3;DIVORCIOS;2.82922;A
2014;23;00;DIVORCIOS;1180.1112;A
2014;23;1;DIVORCIOS;1178.6434;A
2014;23;23;DIVORCIOS;1.4678;A
2014;23;3;DIVORCIOS;1.4678;A
2014;29;00;DIVORCIOS;3567.8708;A
2014;29;1;DIVORCIOS;3545.3301;A
2014;29;23;DIVORCIOS;22.5407;A
2014;29;2;DIVORCIOS;19.3206;A
2014;29;3;DIVORCIOS;3.2201;A
2014;41;00;DIVORCIOS;4126.85938;A
2014;41;1;DIVORCIOS;4093.3914;A
2014;41;23;DIVORCIOS;33.46798;A
2014;41;2;DIVORCIOS;16.73399;A
2014;41;3;DIVORCIOS;16.73399;A
2013;C01;00;DIVORCIOS;16473.17478;A
2013;C01;1;DIVORCIOS;16408.28227;A
2013;C01;23;DIVORCIOS;64.89251;A
2013;C01;2;DIVORCIOS;32.43898;A
2013;C01;3;DIVORCIOS;32.45353;A
