TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2015;18;3;DIVORCIOS;65.322;A
2015;18;4;DIVORCIOS;5.157;A
2015;18;05MAS;DIVORCIOS;1.719;A
2015;21;000;DIVORCIOS;1022.9657;A
2015;21;0;DIVORCIOS;403.3454;A
2015;21;1;DIVORCIOS;312.039;A
2015;21;2;DIVORCIOS;279.3492;A
2015;21;3;DIVORCIOS;26.7462;A
2015;21;4;DIVORCIOS;1.4859;A
2015;23;000;DIVORCIOS;1197.5493;A
2015;23;0;DIVORCIOS;542.8172;A
2015;23;1;DIVORCIOS;355.4694;A
2015;23;2;DIVORCIOS;262.8043;A
2015;23;3;DIVORCIOS;34.9393;A
2015;23;4;DIVORCIOS;1.5191;A
2015;29;000;DIVORCIOS;3560.4711;A
2015;29;0;DIVORCIOS;1801.9869;A
2015;29;1;DIVORCIOS;901.6789;A
2015;29;2;DIVORCIOS;740.4144;A
2015;29;3;DIVORCIOS;95.3564;A
2015;29;4;DIVORCIOS;18.2299;A
2015;29;05MAS;DIVORCIOS;2.8046;A
2015;41;000;DIVORCIOS;4007.618;A
2015;41;0;DIVORCIOS;1691.8786;A
2015;41;1;DIVORCIOS;1189.825;A
2015;41;2;DIVORCIOS;1003.5324;A
2015;41;3;DIVORCIOS;116.9428;A
2015;41;4;DIVORCIOS;4.0794;A
2015;41;05MAS;DIVORCIOS;1.3598;A
2014;C01;000;DIVORCIOS;17376.98787;A
2014;C01;0;DIVORCIOS;7428.1654;A
2014;C01;1;DIVORCIOS;5046.60286;A
2014;C01;2;DIVORCIOS;4263.84878;A
2014;C01;3;DIVORCIOS;581.93644;A
2014;C01;4;DIVORCIOS;45.93276;A
2014;C01;05MAS;DIVORCIOS;10.50163;A
2014;04;000;DIVORCIOS;1315.503;A
2014;04;0;DIVORCIOS;570.852;A
2014;04;1;DIVORCIOS;373.032;A
2014;04;2;DIVORCIOS;322.164;A
2014;04;3;DIVORCIOS;42.39;A
2014;04;4;DIVORCIOS;4.239;A
2014;04;05MAS;DIVORCIOS;2.826;A
2014;11;000;DIVORCIOS;2485.68082;A
2014;11;0;DIVORCIOS;1003.89044;A
2014;11;1;DIVORCIOS;758.92915;A
2014;11;2;DIVORCIOS;619.16596;A
2014;11;3;DIVORCIOS;94.67829;A
2014;11;4;DIVORCIOS;7.51415;A
2014;11;05MAS;DIVORCIOS;1.50283;A
2014;14;000;DIVORCIOS;1712.10316;A
2014;14;0;DIVORCIOS;717.81757;A
2014;14;1;DIVORCIOS;506.30288;A
2014;14;2;DIVORCIOS;426.36032;A
2014;14;3;DIVORCIOS;59.95692;A
2014;14;05MAS;DIVORCIOS;1.66547;A
2014;18;000;DIVORCIOS;1848.68385;A
2014;18;0;DIVORCIOS;785.34885;A
2014;18;1;DIVORCIOS;537.7437;A
2014;18;2;DIVORCIOS;442.04355;A
2014;18;3;DIVORCIOS;80.50965;A
2014;18;4;DIVORCIOS;3.0381;A
