TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;04;070074;00;DIVORCIOS;13.4349;A
2020;04;070074;040044;DIVORCIOS;2.13486;A
2020;04;070074;065069;DIVORCIOS;11.30004;A
2020;04;065100;00;DIVORCIOS;11.30004;A
2020;04;065100;075100;DIVORCIOS;11.30004;A
2020;11;00;00;DIVORCIOS;1956.38358;A
2020;11;00;015024;DIVORCIOS;6.31632;A
2020;11;00;025029;DIVORCIOS;65.07374;A
2020;11;00;030034;DIVORCIOS;180.79498;A
2020;11;00;035039;DIVORCIOS;257.62405;A
2020;11;00;040044;DIVORCIOS;416.44834;A
2020;11;00;045049;DIVORCIOS;412.04256;A
2020;11;00;050054;DIVORCIOS;280.43307;A
2020;11;00;055059;DIVORCIOS;175.12209;A
2020;11;00;060064;DIVORCIOS;59.75167;A
2020;11;00;065069;DIVORCIOS;66.06799;A
2020;11;00;070074;DIVORCIOS;25.18732;A
2020;11;00;075100;DIVORCIOS;11.52145;A
2020;11;025029;00;DIVORCIOS;45.13053;A
2020;11;025029;015024;DIVORCIOS;4.21088;A
2020;11;025029;025029;DIVORCIOS;22.04865;A
2020;11;025029;030034;DIVORCIOS;12.59366;A
2020;11;025029;035039;DIVORCIOS;6.27734;A
2020;11;030034;00;DIVORCIOS;96.69432;A
2020;11;030034;015024;DIVORCIOS;2.10544;A
2020;11;030034;025029;DIVORCIOS;17.83777;A
2020;11;030034;030034;DIVORCIOS;56.76892;A
2020;11;030034;035039;DIVORCIOS;15.77131;A
2020;11;030034;040044;DIVORCIOS;4.21088;A
2020;11;035039;00;DIVORCIOS;241.81376;A
2020;11;035039;025029;DIVORCIOS;9.45499;A
2020;11;035039;030034;DIVORCIOS;86.2061;A
2020;11;035039;035039;DIVORCIOS;100.94418;A
2020;11;035039;040044;DIVORCIOS;40.99761;A
2020;11;035039;045049;DIVORCIOS;2.10544;A
2020;11;035039;050054;DIVORCIOS;2.10544;A
2020;11;040044;00;DIVORCIOS;343.90811;A
2020;11;040044;025029;DIVORCIOS;7.34955;A
2020;11;040044;030034;DIVORCIOS;12.63264;A
2020;11;040044;035039;DIVORCIOS;98.87772;A
2020;11;040044;040044;DIVORCIOS;160.96871;A
2020;11;040044;045049;DIVORCIOS;50.4526;A
2020;11;040044;050054;DIVORCIOS;7.34955;A
2020;11;040044;055059;DIVORCIOS;6.27734;A
2020;11;045049;00;DIVORCIOS;399.52686;A
2020;11;045049;030034;DIVORCIOS;8.38278;A
2020;11;045049;035039;DIVORCIOS;26.29851;A
2020;11;045049;040044;DIVORCIOS;134.59224;A
2020;11;045049;045049;DIVORCIOS;197.71646;A
2020;11;045049;050054;DIVORCIOS;25.18732;A
2020;11;045049;055059;DIVORCIOS;5.24411;A
2020;11;045049;070074;DIVORCIOS;2.10544;A
2020;11;050054;00;DIVORCIOS;367.6724;A
2020;11;050054;025029;DIVORCIOS;5.24411;A
2020;11;050054;030034;DIVORCIOS;2.10544;A
2020;11;050054;035039;DIVORCIOS;3.13867;A
2020;11;050054;040044;DIVORCIOS;57.84113;A
2020;11;050054;045049;DIVORCIOS;126.05354;A
2020;11;050054;050054;DIVORCIOS;129.23119;A
2020;11;050054;055059;DIVORCIOS;35.67554;A
2020;11;050054;060064;DIVORCIOS;3.13867;A
2020;11;050054;065069;DIVORCIOS;5.24411;A
2020;11;055059;00;DIVORCIOS;208.84811;A
2020;11;055059;035039;DIVORCIOS;2.10544;A
2020;11;055059;040044;DIVORCIOS;17.83777;A
2020;11;055059;045049;DIVORCIOS;19.94321;A
2020;11;055059;050054;DIVORCIOS;88.1946;A
2020;11;055059;055059;DIVORCIOS;77.62842;A
2020;11;055059;060064;DIVORCIOS;3.13867;A
2020;11;060064;00;DIVORCIOS;126.89187;A
2020;11;060064;030034;DIVORCIOS;2.10544;A
2020;11;060064;035039;DIVORCIOS;2.10544;A
2020;11;060064;045049;DIVORCIOS;10.5272;A
2020;11;060064;050054;DIVORCIOS;19.94321;A
2020;11;060064;055059;DIVORCIOS;42.94713;A
