ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3383;124;(124) Andorra;Andorra;0102;83
3393;148;(148) Armenia;Armenia;0102;84
3390;138;(138) Belarus;Belarus;0102;85
3392;145;(145) Bosnia-Herzegovina;Bosnia-Herzegovina;0102;86
3391;139;(139) Georgia;Georgia;0102;87
3380;116;(116) Liechtenstein;Liechtenstein;0102;88
3396;156;(156) Macedonia;Macedonia;0102;89
3389;137;(137) Moldava;Moldava;0102;90
3381;119;(119) Mónaco;Mónaco;0102;91
3384;129;(129) San Marino;San Marino;0102;92
3385;130;(130) Santa Sede;Santa Sede;0102;93
3388;135;(135) Ucrania;Ucrania;0102;94
3399;199;(199) Países de Europa sin relaciones diplomáticas;Países de Europa sin relaciones diplomáticas;0102;95
3376;001;(001) País de Europa no determinado;País de Europa no determinado;0102;96
3397;157;(157) Serbia;Serbia;0102;97
3398;158;(158) Montenegro;Montenegro;0102;98
3387;133;(133) U.R.S.S. Unión Soviética;U.R.S.S. Unión Soviética;0102;99
3378;105;(105) Checoslovaquia;Checoslovaquia;0102;100
3460;2030;(2030) Argelia;Argelia;6602;15
3464;2130;(2130) Egipto;Egipto;6602;16
3468;2280;(2280) Marruecos;Marruecos;6602;17
3472;2340;(2340) Nigeria;Nigeria;6602;18
3476;2480;(2480) Túnez;Túnez;6602;19
3480;2500;(2500) República Democrática del Congo;República Democrática del Congo;6602;20
3456;0207;(0207) Resto de Países Africanos;Resto de Países Africanos;6602;21
3457;203;(203) Argelia;Argelia;2030;101
3461;213;(213) Egipto;Egipto;2130;102
3465;228;(228) Marruecos;Marruecos;2280;103
3469;234;(234) Nigeria;Nigeria;2340;104
3473;248;(248) Túnez;Túnez;2480;105
3477;250;(250) República Democrática del Congo;República Democrática del Congo;2500;106
3406;202;(202) Angola;Angola;0207;107
3407;204;(204) Benin;Benin;0207;108
3408;205;(205) Botswana;Botswana;0207;109
3405;201;(201) Burkina Faso;Burkina Faso;0207;110
3409;206;(206) Burundi;Burundi;0207;111
3410;207;(207) Cabo Verde;Cabo Verde;0207;112
3411;208;(208) Camerún;Camerún;0207;113
3446;246;(246) Chad;Chad;0207;114
3412;209;(209) Comores;Comores;0207;115
3413;210;(210) Congo;Congo;0207;116
3414;211;(211) Costa de Marfil;Costa de Marfil;0207;117
3415;212;(212) Djibouti;Djibouti;0207;118
3451;253;(253) Eritrea;Eritrea;0207;119
3416;214;(214) Etiopía;Etiopía;0207;120
3417;215;(215) Gabón;Gabón;0207;121
3418;216;(216) Gambia;Gambia;0207;122
3419;217;(217) Ghana;Ghana;0207;123
3420;218;(218) Guinea;Guinea;0207;124
3421;219;(219) Guinea Bissau;Guinea Bissau;0207;125
3422;220;(220) Guinea Ecuatorial;Guinea Ecuatorial;0207;126
3423;221;(221) Kenia;Kenia;0207;127
3424;222;(222) Lesotho;Lesotho;0207;128
3425;223;(223) Liberia;Liberia;0207;129
3426;224;(224) Libia;Libia;0207;130
3427;225;(225) Madagascar;Madagascar;0207;131
3428;226;(226) Malawi;Malawi;0207;132
3429;227;(227) Mali;Mali;0207;133
3430;229;(229) Mauricio;Mauricio;0207;134
3431;230;(230) Mauritania;Mauritania;0207;135
3432;231;(231) Mozambique;Mozambique;0207;136
3433;232;(232) Namibia;Namibia;0207;137
3434;233;(233) Níger;Níger;0207;138
3435;235;(235) República Centroafricana;República Centroafricana;0207;139
3437;237;(237) Ruanda;Ruanda;0207;140
3438;238;(238) Santo Tomé y Príncipe;Santo Tomé y Príncipe;0207;141
3439;239;(239) Senegal;Senegal;0207;142
3440;240;(240) Seychelles;Seychelles;0207;143
3441;241;(241) Sierra Leona;Sierra Leona;0207;144
3442;242;(242) Somalia;Somalia;0207;145
3436;236;(236) Sudáfrica;Sudáfrica;0207;146
3443;243;(243) Sudán;Sudán;0207;147
3444;244;(244) Swazilandia;Swazilandia;0207;148
3445;245;(245) Tanzania;Tanzania;0207;149
