D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
C01;2015;estado Doctorados STEM. Hombres;;A
C01;2016;estado Doctorados STEM. Hombres;;A
C01;2017;estado Doctorados STEM. Hombres;;A
C01;2018;estado Doctorados STEM. Hombres;;A
C01;2019;estado Doctorados STEM. Hombres;;A
C01;2020;estado Doctorados STEM. Hombres;;A
108;2013;estado Doctorados STEM. Hombres;;A
108;2014;estado Doctorados STEM. Hombres;;A
108;2015;estado Doctorados STEM. Hombres;;A
108;2016;estado Doctorados STEM. Hombres;;A
108;2017;estado Doctorados STEM. Hombres;;A
108;2018;estado Doctorados STEM. Hombres;;A
108;2019;estado Doctorados STEM. Hombres;;A
108;2020;estado Doctorados STEM. Hombres;;A
UE27NRU;2013;estado Doctorados STEM. Hombres;--;A
UE27NRU;2014;estado Doctorados STEM. Hombres;--;A
UE27NRU;2015;estado Doctorados STEM. Hombres;d;A
UE27NRU;2016;estado Doctorados STEM. Hombres;d;A
UE27NRU;2017;estado Doctorados STEM. Hombres;;A
UE27NRU;2018;estado Doctorados STEM. Hombres;d;A
UE27NRU;2019;estado Doctorados STEM. Hombres;;A
UE27NRU;2020;estado Doctorados STEM. Hombres;d;A
UE28;2013;estado Doctorados STEM. Hombres;--;A
UE28;2014;estado Doctorados STEM. Hombres;--;A
UE28;2015;estado Doctorados STEM. Hombres;d;A
UE28;2016;estado Doctorados STEM. Hombres;d;A
UE28;2017;estado Doctorados STEM. Hombres;;A
UE28;2018;estado Doctorados STEM. Hombres;d;A
UE28;2019;estado Doctorados STEM. Hombres;;A
UE28;2020;estado Doctorados STEM. Hombres;--;A
103;2013;estado Doctorados STEM. Hombres;;A
103;2014;estado Doctorados STEM. Hombres;;A
103;2015;estado Doctorados STEM. Hombres;;A
103;2016;estado Doctorados STEM. Hombres;;A
103;2017;estado Doctorados STEM. Hombres;;A
103;2018;estado Doctorados STEM. Hombres;;A
103;2019;estado Doctorados STEM. Hombres;;A
103;2020;estado Doctorados STEM. Hombres;;A
104;2013;estado Doctorados STEM. Hombres;;A
104;2014;estado Doctorados STEM. Hombres;;A
104;2015;estado Doctorados STEM. Hombres;;A
104;2016;estado Doctorados STEM. Hombres;;A
104;2017;estado Doctorados STEM. Hombres;;A
104;2018;estado Doctorados STEM. Hombres;;A
104;2019;estado Doctorados STEM. Hombres;;A
104;2020;estado Doctorados STEM. Hombres;;A
143;2013;estado Doctorados STEM. Hombres;;A
143;2014;estado Doctorados STEM. Hombres;;A
143;2015;estado Doctorados STEM. Hombres;;A
143;2016;estado Doctorados STEM. Hombres;;A
143;2017;estado Doctorados STEM. Hombres;;A
143;2018;estado Doctorados STEM. Hombres;;A
143;2019;estado Doctorados STEM. Hombres;;A
143;2020;estado Doctorados STEM. Hombres;--;A
107;2013;estado Doctorados STEM. Hombres;;A
107;2014;estado Doctorados STEM. Hombres;;A
107;2015;estado Doctorados STEM. Hombres;;A
107;2016;estado Doctorados STEM. Hombres;;A
107;2017;estado Doctorados STEM. Hombres;;A
107;2018;estado Doctorados STEM. Hombres;;A
107;2019;estado Doctorados STEM. Hombres;;A
107;2020;estado Doctorados STEM. Hombres;;A
126;2013;estado Doctorados STEM. Hombres;;A
126;2014;estado Doctorados STEM. Hombres;;A
126;2015;estado Doctorados STEM. Hombres;;A
126;2016;estado Doctorados STEM. Hombres;;A
126;2017;estado Doctorados STEM. Hombres;;A
126;2018;estado Doctorados STEM. Hombres;;A
126;2019;estado Doctorados STEM. Hombres;;A
126;2020;estado Doctorados STEM. Hombres;;A
141;2013;estado Doctorados STEM. Hombres;;A
141;2014;estado Doctorados STEM. Hombres;;A
141;2015;estado Doctorados STEM. Hombres;;A
141;2016;estado Doctorados STEM. Hombres;;A
141;2017;estado Doctorados STEM. Hombres;;A
141;2018;estado Doctorados STEM. Hombres;;A
141;2019;estado Doctorados STEM. Hombres;;A
141;2020;estado Doctorados STEM. Hombres;;A
113;2013;estado Doctorados STEM. Hombres;;A
113;2014;estado Doctorados STEM. Hombres;;A
113;2015;estado Doctorados STEM. Hombres;;A
113;2016;estado Doctorados STEM. Hombres;;A
113;2017;estado Doctorados STEM. Hombres;;A
113;2018;estado Doctorados STEM. Hombres;d;A
113;2019;estado Doctorados STEM. Hombres;d;A
113;2020;estado Doctorados STEM. Hombres;d;A
111;2013;estado Doctorados STEM. Hombres;;A
111;2014;estado Doctorados STEM. Hombres;;A
111;2015;estado Doctorados STEM. Hombres;;A
111;2016;estado Doctorados STEM. Hombres;;A
111;2017;estado Doctorados STEM. Hombres;;A
111;2018;estado Doctorados STEM. Hombres;;A
111;2019;estado Doctorados STEM. Hombres;;A
111;2020;estado Doctorados STEM. Hombres;;A
110;2013;estado Doctorados STEM. Hombres;;A
110;2014;estado Doctorados STEM. Hombres;;A
110;2015;estado Doctorados STEM. Hombres;;A
110;2016;estado Doctorados STEM. Hombres;;A
110;2017;estado Doctorados STEM. Hombres;;A
110;2018;estado Doctorados STEM. Hombres;d;A
110;2019;estado Doctorados STEM. Hombres;;A
110;2020;estado Doctorados STEM. Hombres;;A
146;2013;estado Doctorados STEM. Hombres;;A
146;2014;estado Doctorados STEM. Hombres;;A
146;2015;estado Doctorados STEM. Hombres;;A
146;2016;estado Doctorados STEM. Hombres;;A
146;2017;estado Doctorados STEM. Hombres;;A
146;2018;estado Doctorados STEM. Hombres;;A
146;2019;estado Doctorados STEM. Hombres;;A
146;2020;estado Doctorados STEM. Hombres;;A
115;2013;estado Doctorados STEM. Hombres;;A
115;2014;estado Doctorados STEM. Hombres;;A
115;2015;estado Doctorados STEM. Hombres;;A
115;2016;estado Doctorados STEM. Hombres;;A
115;2017;estado Doctorados STEM. Hombres;d;A
115;2018;estado Doctorados STEM. Hombres;;A
115;2019;estado Doctorados STEM. Hombres;;A
115;2020;estado Doctorados STEM. Hombres;p;A
106;2013;estado Doctorados STEM. Hombres;;A
106;2014;estado Doctorados STEM. Hombres;;A
106;2015;estado Doctorados STEM. Hombres;;A
106;2016;estado Doctorados STEM. Hombres;;A
106;2017;estado Doctorados STEM. Hombres;;A
106;2018;estado Doctorados STEM. Hombres;;A
106;2019;estado Doctorados STEM. Hombres;;A
106;2020;estado Doctorados STEM. Hombres;;A
136;2013;estado Doctorados STEM. Hombres;;A
136;2014;estado Doctorados STEM. Hombres;;A
136;2015;estado Doctorados STEM. Hombres;;A
136;2016;estado Doctorados STEM. Hombres;;A
136;2017;estado Doctorados STEM. Hombres;;A
136;2018;estado Doctorados STEM. Hombres;;A
136;2019;estado Doctorados STEM. Hombres;;A
136;2020;estado Doctorados STEM. Hombres;;A
142;2013;estado Doctorados STEM. Hombres;;A
142;2014;estado Doctorados STEM. Hombres;;A
142;2015;estado Doctorados STEM. Hombres;;A
142;2016;estado Doctorados STEM. Hombres;;A
142;2017;estado Doctorados STEM. Hombres;;A
142;2018;estado Doctorados STEM. Hombres;;A
142;2019;estado Doctorados STEM. Hombres;;A
142;2020;estado Doctorados STEM. Hombres;;A
117;2013;estado Doctorados STEM. Hombres;;A
