TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
141;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.8;A
141;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
141;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.9;A
141;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.4;A
141;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.9;A
141;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.4;A
141;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.9;A
141;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.6;A
141;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.8;A
141;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.8;A
141;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.5;A
113;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.3;A
113;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.2;A
113;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.4;A
113;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.7;A
113;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;21.1;A
113;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;21.3;A
113;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;21.6;A
113;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;21.5;A
113;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;21.4;A
113;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.8;A
113;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.2;A
113;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.3;A
113;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;22.3;A
113;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;23.4;A
111;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
111;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
111;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
111;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.4;A
111;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.4;A
111;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.5;A
111;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
111;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.0;A
111;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
111;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.1;A
