D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2015;04;1;Divorcios;1105.221;A
2015;04;22;Divorcios;293.2953;A
2015;04;20;Divorcios;183.1578;A
2015;04;2;Divorcios;114.4686;A
2015;04;3;Divorcios;68.6892;A
2015;04;30;Divorcios;110.1375;A
2015;04;4;Divorcios;71.8464;A
2015;04;5;Divorcios;38.2911;A
2015;11;00;Divorcios;2355.5567;A
2015;11;11;Divorcios;2180.2137;A
2015;11;10;Divorcios;2180.2137;A
2015;11;1;Divorcios;2180.2137;A
2015;11;22;Divorcios;175.343;A
2015;11;20;Divorcios;148.2484;A
2015;11;2;Divorcios;84.8761;A
2015;11;3;Divorcios;63.3723;A
2015;11;30;Divorcios;27.0946;A
2015;11;4;Divorcios;14.3442;A
2015;11;5;Divorcios;12.7504;A
2015;14;00;Divorcios;1621.987;A
2015;14;11;Divorcios;1557.1289;A
2015;14;10;Divorcios;1557.1289;A
2015;14;1;Divorcios;1557.1289;A
2015;14;22;Divorcios;64.8581;A
2015;14;20;Divorcios;55.9211;A
2015;14;2;Divorcios;25.3215;A
2015;14;3;Divorcios;30.5996;A
2015;14;30;Divorcios;8.937;A
2015;14;4;Divorcios;7.4475;A
2015;14;5;Divorcios;1.4895;A
2015;18;00;Divorcios;1864.9266;A
2015;18;11;Divorcios;1694.7456;A
2015;18;10;Divorcios;1694.7456;A
2015;18;1;Divorcios;1694.7456;A
2015;18;22;Divorcios;170.181;A
2015;18;20;Divorcios;135.801;A
2015;18;2;Divorcios;72.198;A
2015;18;3;Divorcios;63.603;A
2015;18;30;Divorcios;34.38;A
2015;18;4;Divorcios;20.628;A
2015;18;5;Divorcios;13.752;A
2015;21;00;Divorcios;1022.9657;A
2015;21;11;Divorcios;971.6355;A
2015;21;10;Divorcios;971.6355;A
2015;21;1;Divorcios;971.6355;A
2015;21;22;Divorcios;51.3302;A
2015;21;20;Divorcios;43.4959;A
2015;21;2;Divorcios;31.2039;A
2015;21;3;Divorcios;12.292;A
2015;21;30;Divorcios;7.8343;A
2015;21;4;Divorcios;5.9436;A
2015;21;5;Divorcios;1.8907;A
2015;23;00;Divorcios;1197.5493;A
2015;23;11;Divorcios;1170.2055;A
2015;23;10;Divorcios;1170.2055;A
2015;23;1;Divorcios;1170.2055;A
2015;23;22;Divorcios;27.3438;A
2015;23;20;Divorcios;24.3056;A
2015;23;2;Divorcios;12.1528;A
2015;23;3;Divorcios;12.1528;A
2015;23;30;Divorcios;3.0382;A
2015;23;4;Divorcios;1.5191;A
2015;23;5;Divorcios;1.5191;A
2015;29;00;Divorcios;3560.4711;A
2015;29;11;Divorcios;2904.2666;A
2015;29;10;Divorcios;2904.2666;A
2015;29;1;Divorcios;2904.2666;A
2015;29;22;Divorcios;656.2045;A
2015;29;20;Divorcios;458.0464;A
2015;29;2;Divorcios;217.1976;A
2015;29;3;Divorcios;240.8488;A
2015;29;30;Divorcios;198.1581;A
2015;29;4;Divorcios;115.6103;A
2015;29;5;Divorcios;82.5478;A
2015;41;00;Divorcios;4007.618;A
2015;41;11;Divorcios;3697.501;A
2015;41;10;Divorcios;3697.501;A
2015;41;1;Divorcios;3697.501;A
2015;41;22;Divorcios;310.117;A
2015;41;20;Divorcios;250.9814;A
2015;41;2;Divorcios;121.541;A
2015;41;3;Divorcios;129.4404;A
2015;41;30;Divorcios;59.1356;A
2015;41;4;Divorcios;44.728;A
2015;41;5;Divorcios;14.4076;A
2014;C01;00;Divorcios;17376.98787;A
2014;C01;11;Divorcios;15701.30337;A
2014;C01;10;Divorcios;15701.30337;A
2014;C01;1;Divorcios;15701.30337;A
2014;C01;22;Divorcios;1675.6845;A
2014;C01;20;Divorcios;1227.42309;A
2014;C01;2;Divorcios;640.38305;A
2014;C01;3;Divorcios;587.04004;A
2014;C01;30;Divorcios;448.26141;A
2014;C01;4;Divorcios;322.38913;A
2014;C01;5;Divorcios;125.87228;A
2014;04;00;Divorcios;1315.503;A
2014;04;11;Divorcios;1095.075;A
2014;04;10;Divorcios;1095.075;A
2014;04;1;Divorcios;1095.075;A
2014;04;22;Divorcios;220.428;A
2014;04;20;Divorcios;151.191;A
2014;04;2;Divorcios;98.91;A
2014;04;3;Divorcios;52.281;A
2014;04;30;Divorcios;69.237;A
2014;04;4;Divorcios;45.216;A
2014;04;5;Divorcios;24.021;A
2014;11;00;Divorcios;2485.68082;A
2014;11;11;Divorcios;2315.86103;A
2014;11;10;Divorcios;2315.86103;A
2014;11;1;Divorcios;2315.86103;A
2014;11;22;Divorcios;169.81979;A
2014;11;20;Divorcios;133.75187;A
2014;11;2;Divorcios;60.1132;A
2014;11;3;Divorcios;73.63867;A
2014;11;30;Divorcios;36.06792;A
2014;11;4;Divorcios;16.53113;A
2014;11;5;Divorcios;19.53679;A
2014;14;00;Divorcios;1712.10316;A
2014;14;11;Divorcios;1620.50231;A
2014;14;10;Divorcios;1620.50231;A
2014;14;1;Divorcios;1620.50231;A
2014;14;22;Divorcios;91.60085;A
2014;14;20;Divorcios;73.28068;A
2014;14;2;Divorcios;48.29863;A
2014;14;3;Divorcios;24.98205;A
2014;14;30;Divorcios;18.32017;A
2014;14;4;Divorcios;18.32017;A
2014;14;5;Divorcios;;A
2014;18;00;Divorcios;1848.68385;A
2014;18;11;Divorcios;1715.00745;A
2014;18;10;Divorcios;1715.00745;A
2014;18;1;Divorcios;1715.00745;A
2014;18;22;Divorcios;133.6764;A
2014;18;20;Divorcios;100.2573;A
2014;18;2;Divorcios;50.12865;A
2014;18;3;Divorcios;50.12865;A
2014;18;30;Divorcios;33.4191;A
2014;18;4;Divorcios;25.82385;A
2014;18;5;Divorcios;7.59525;A
2014;21;00;Divorcios;1140.17566;A
2014;21;11;Divorcios;1076.51821;A
2014;21;10;Divorcios;1076.51821;A
2014;21;1;Divorcios;1076.51821;A
2014;21;22;Divorcios;63.65745;A
2014;21;20;Divorcios;52.34057;A
2014;21;2;Divorcios;28.2922;A
2014;21;3;Divorcios;24.04837;A
2014;21;30;Divorcios;11.31688;A
2014;21;4;Divorcios;9.90227;A
2014;21;5;Divorcios;1.41461;A
2014;23;00;Divorcios;1180.1112;A
2014;23;11;Divorcios;1137.545;A
2014;23;10;Divorcios;1137.545;A
2014;23;1;Divorcios;1137.545;A
2014;23;22;Divorcios;42.5662;A
2014;23;20;Divorcios;33.7594;A
2014;23;2;Divorcios;14.678;A
2014;23;3;Divorcios;19.0814;A
2014;23;30;Divorcios;8.8068;A
2014;23;4;Divorcios;4.4034;A
2014;23;5;Divorcios;4.4034;A
2014;29;00;Divorcios;3567.8708;A
2014;29;11;Divorcios;2899.70005;A
2014;29;10;Divorcios;2899.70005;A
2014;29;1;Divorcios;2899.70005;A
2014;29;22;Divorcios;668.17075;A
2014;29;20;Divorcios;458.86425;A
2014;29;2;Divorcios;212.5266;A
2014;29;3;Divorcios;246.33765;A
2014;29;30;Divorcios;209.3065;A
2014;29;4;Divorcios;154.5648;A
2014;29;5;Divorcios;54.7417;A
