D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2015;04;000;Nulidades;3.1572;A
2015;04;0;Nulidades;3.1572;A
2015;04;1;Nulidades;;A
2015;04;2;Nulidades;;A
2015;04;3;Nulidades;;A
2015;04;4;Nulidades;;A
2015;04;05+;Nulidades;;A
2015;11;000;Nulidades;4.7814;A
2015;11;0;Nulidades;1.5938;A
2015;11;1;Nulidades;;A
2015;11;2;Nulidades;3.1876;A
2015;11;3;Nulidades;;A
2015;11;4;Nulidades;;A
2015;14;000;Nulidades;;A
2015;14;0;Nulidades;;A
2015;14;1;Nulidades;;A
2015;14;2;Nulidades;;A
2015;14;3;Nulidades;;A
2015;14;4;Nulidades;;A
2015;18;000;Nulidades;3.438;A
2015;18;0;Nulidades;1.719;A
2015;18;1;Nulidades;;A
2015;18;2;Nulidades;1.719;A
2015;18;3;Nulidades;;A
2015;18;4;Nulidades;;A
2015;18;05+;Nulidades;;A
2015;21;000;Nulidades;2.9718;A
2015;21;0;Nulidades;1.4859;A
2015;21;1;Nulidades;;A
2015;21;2;Nulidades;1.4859;A
2015;21;3;Nulidades;;A
2015;21;4;Nulidades;;A
2015;23;000;Nulidades;;A
2015;23;0;Nulidades;;A
2015;23;1;Nulidades;;A
2015;23;2;Nulidades;;A
2015;23;3;Nulidades;;A
2015;23;4;Nulidades;;A
2015;29;000;Nulidades;8.4138;A
2015;29;0;Nulidades;5.6092;A
2015;29;1;Nulidades;1.4023;A
2015;29;2;Nulidades;;A
2015;29;3;Nulidades;1.4023;A
2015;29;4;Nulidades;;A
2015;29;05+;Nulidades;;A
2015;41;000;Nulidades;6.799;A
2015;41;0;Nulidades;1.3598;A
2015;41;1;Nulidades;4.0794;A
2015;41;2;Nulidades;1.3598;A
2015;41;3;Nulidades;;A
2015;41;4;Nulidades;;A
2015;41;05+;Nulidades;;A
2014;C01;000;Nulidades;38.00724;A
2014;C01;0;Nulidades;26.18236;A
2014;C01;1;Nulidades;4.40011;A
2014;C01;2;Nulidades;7.42477;A
2014;C01;3;Nulidades;;A
2014;C01;4;Nulidades;;A
2014;C01;05+;Nulidades;;A
2014;04;000;Nulidades;;A
2014;04;0;Nulidades;;A
2014;04;1;Nulidades;;A
2014;04;2;Nulidades;;A
2014;04;3;Nulidades;;A
2014;04;4;Nulidades;;A
2014;04;05+;Nulidades;;A
2014;11;000;Nulidades;9.01698;A
2014;11;0;Nulidades;6.01132;A
2014;11;1;Nulidades;1.50283;A
2014;11;2;Nulidades;1.50283;A
2014;11;3;Nulidades;;A
2014;11;4;Nulidades;;A
2014;11;05+;Nulidades;;A
2014;14;000;Nulidades;;A
2014;14;0;Nulidades;;A
2014;14;1;Nulidades;;A
2014;14;2;Nulidades;;A
2014;14;3;Nulidades;;A
2014;14;05+;Nulidades;;A
2014;18;000;Nulidades;1.51905;A
2014;18;0;Nulidades;1.51905;A
2014;18;1;Nulidades;;A
2014;18;2;Nulidades;;A
2014;18;3;Nulidades;;A
2014;18;4;Nulidades;;A
2014;21;000;Nulidades;2.82922;A
2014;21;0;Nulidades;1.41461;A
2014;21;1;Nulidades;;A
2014;21;2;Nulidades;1.41461;A
2014;21;3;Nulidades;;A
2014;21;4;Nulidades;;A
2014;23;000;Nulidades;1.4678;A
2014;23;0;Nulidades;1.4678;A
2014;23;1;Nulidades;;A
2014;23;2;Nulidades;;A
2014;23;3;Nulidades;;A
2014;23;4;Nulidades;;A
2014;29;000;Nulidades;6.4402;A
2014;29;0;Nulidades;1.61005;A
2014;29;1;Nulidades;1.61005;A
2014;29;2;Nulidades;3.2201;A
2014;29;3;Nulidades;;A
2014;29;4;Nulidades;;A
2014;29;05+;Nulidades;;A
2014;41;000;Nulidades;16.73399;A
2014;41;0;Nulidades;14.15953;A
2014;41;1;Nulidades;1.28723;A
2014;41;2;Nulidades;1.28723;A
2014;41;3;Nulidades;;A
2014;41;4;Nulidades;;A
2014;41;05+;Nulidades;;A
2013;C01;000;Nulidades;29.96762;A
2013;C01;0;Nulidades;29.96762;A
2013;C01;1;Nulidades;;A
2013;C01;2;Nulidades;;A
2013;C01;3;Nulidades;;A
2013;C01;4;Nulidades;;A
2013;C01;05+;Nulidades;;A
2013;04;000;Nulidades;;A
2013;04;0;Nulidades;;A
2013;04;1;Nulidades;;A
2013;04;2;Nulidades;;A
2013;04;3;Nulidades;;A
2013;04;4;Nulidades;;A
2013;11;000;Nulidades;2.9301;A
2013;11;0;Nulidades;2.9301;A
2013;11;1;Nulidades;;A
2013;11;2;Nulidades;;A
2013;11;3;Nulidades;;A
2013;11;4;Nulidades;;A
2013;14;000;Nulidades;1.35646;A
2013;14;0;Nulidades;1.35646;A
2013;14;1;Nulidades;;A
2013;14;2;Nulidades;;A
2013;14;3;Nulidades;;A
2013;14;4;Nulidades;;A
2013;14;05+;Nulidades;;A
2013;18;000;Nulidades;5.45556;A
2013;18;0;Nulidades;5.45556;A
2013;18;1;Nulidades;;A
2013;18;2;Nulidades;;A
2013;18;3;Nulidades;;A
2013;18;4;Nulidades;;A
2013;18;05+;Nulidades;;A
2013;21;000;Nulidades;1.43627;A
2013;21;0;Nulidades;1.43627;A
2013;21;1;Nulidades;;A
2013;21;2;Nulidades;;A
2013;21;3;Nulidades;;A
2013;21;4;Nulidades;;A
2013;21;05+;Nulidades;;A
2013;23;000;Nulidades;1.41113;A
2013;23;0;Nulidades;1.41113;A
2013;23;1;Nulidades;;A
2013;23;2;Nulidades;;A
2013;23;3;Nulidades;;A
2013;23;4;Nulidades;;A
2013;29;000;Nulidades;1.4361;A
2013;29;0;Nulidades;1.4361;A
