D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2014;04;2;Divorcios;633.024;A
2014;04;3;Divorcios;72.063;A
2014;04;4;Divorcios;1.413;A
2014;04;NP;Divorcios;570.852;A
2014;11;00;Divorcios;2485.68082;A
2014;11;1;Divorcios;54.10188;A
2014;11;2;Divorcios;1226.30928;A
2014;11;3;Divorcios;193.86507;A
2014;11;4;Divorcios;7.51415;A
2014;11;NP;Divorcios;1003.89044;A
2014;14;00;Divorcios;1712.10316;A
2014;14;1;Divorcios;48.29863;A
2014;14;2;Divorcios;852.72064;A
2014;14;3;Divorcios;89.93538;A
2014;14;4;Divorcios;3.33094;A
2014;14;NP;Divorcios;717.81757;A
2014;18;00;Divorcios;1848.68385;A
2014;18;1;Divorcios;50.12865;A
2014;18;2;Divorcios;879.52995;A
2014;18;3;Divorcios;129.11925;A
2014;18;4;Divorcios;4.55715;A
2014;18;NP;Divorcios;785.34885;A
2014;21;00;Divorcios;1140.17566;A
2014;21;1;Divorcios;31.12142;A
2014;21;2;Divorcios;621.01379;A
2014;21;3;Divorcios;65.07206;A
2014;21;4;Divorcios;1.41461;A
2014;21;NP;Divorcios;421.55378;A
2014;23;00;Divorcios;1180.1112;A
2014;23;1;Divorcios;24.9526;A
2014;23;2;Divorcios;607.6692;A
2014;23;3;Divorcios;67.5188;A
2014;23;4;Divorcios;1.4678;A
2014;23;NP;Divorcios;478.5028;A
2014;29;00;Divorcios;3567.8708;A
2014;29;1;Divorcios;72.45225;A
2014;29;2;Divorcios;1600.3897;A
2014;29;3;Divorcios;193.206;A
2014;29;4;Divorcios;4.83015;A
2014;29;NP;Divorcios;1696.9927;A
2014;41;00;Divorcios;4126.85938;A
2014;41;1;Divorcios;84.95718;A
2014;41;2;Divorcios;2001.64265;A
2014;41;3;Divorcios;275.46722;A
2014;41;4;Divorcios;11.58507;A
2014;41;NP;Divorcios;1753.20726;A
2013;C01;00;Divorcios;16473.17478;A
2013;C01;1;Divorcios;408.44832;A
2013;C01;2;Divorcios;7891.05951;A
2013;C01;3;Divorcios;922.83164;A
2013;C01;4;Divorcios;30.76155;A
2013;C01;NP;Divorcios;7220.07376;A
2013;04;00;Divorcios;1267.4696;A
2013;04;1;Divorcios;31.1942;A
2013;04;2;Divorcios;510.5998;A
2013;04;3;Divorcios;116.5678;A
2013;04;4;Divorcios;1.6418;A
2013;04;NP;Divorcios;607.466;A
2013;11;00;Divorcios;2358.7305;A
2013;11;1;Divorcios;54.20685;A
2013;11;2;Divorcios;1141.27395;A
2013;11;3;Divorcios;150.90015;A
2013;11;4;Divorcios;2.9301;A
2013;11;NP;Divorcios;1009.41945;A
2013;14;00;Divorcios;1452.76866;A
2013;14;1;Divorcios;42.05026;A
2013;14;2;Divorcios;739.2707;A
2013;14;3;Divorcios;59.68424;A
2013;14;4;Divorcios;2.71292;A
2013;14;NP;Divorcios;609.05054;A
2013;18;00;Divorcios;1822.15704;A
2013;18;1;Divorcios;61.37505;A
2013;18;2;Divorcios;878.34516;A
2013;18;3;Divorcios;77.74173;A
2013;18;4;Divorcios;4.09167;A
2013;18;NP;Divorcios;800.60343;A
2013;21;00;Divorcios;995.33511;A
2013;21;1;Divorcios;34.47048;A
2013;21;2;Divorcios;492.64061;A
2013;21;3;Divorcios;34.47048;A
2013;21;4;Divorcios;1.43627;A
2013;21;NP;Divorcios;432.31727;A
2013;23;00;Divorcios;1155.71547;A
2013;23;1;Divorcios;22.57808;A
2013;23;2;Divorcios;554.57409;A
2013;23;3;Divorcios;67.73424;A
2013;23;4;Divorcios;4.23339;A
2013;23;NP;Divorcios;506.59567;A
2013;29;00;Divorcios;3581.6334;A
2013;29;1;Divorcios;77.5494;A
2013;29;2;Divorcios;1675.9287;A
2013;29;3;Divorcios;193.8735;A
2013;29;4;Divorcios;5.7444;A
2013;29;NP;Divorcios;1628.5374;A
2013;41;00;Divorcios;3839.365;A
2013;41;1;Divorcios;85.024;A
2013;41;2;Divorcios;1898.4265;A
2013;41;3;Divorcios;221.8595;A
2013;41;4;Divorcios;7.971;A
2013;41;NP;Divorcios;1626.084;A
2012;C01;00;Divorcios;19100.05171;A
2012;C01;1;Divorcios;921.13843;A
2012;C01;2;Divorcios;9086.29046;A
2012;C01;3;Divorcios;757.45712;A
2012;C01;4;Divorcios;57.49162;A
2012;C01;NP;Divorcios;8277.67408;A
2012;04;00;Divorcios;1673.28115;A
2012;04;1;Divorcios;72.22676;A
2012;04;2;Divorcios;743.24091;A
2012;04;3;Divorcios;58.89033;A
2012;04;4;Divorcios;4.88613;A
2012;04;NP;Divorcios;794.03702;A
2012;11;00;Divorcios;2751.43454;A
2012;11;1;Divorcios;98.60454;A
2012;11;2;Divorcios;1388.50168;A
2012;11;3;Divorcios;71.711;A
2012;11;NP;Divorcios;1192.61732;A
2012;14;00;Divorcios;1519.27045;A
2012;14;1;Divorcios;74.13726;A
2012;14;2;Divorcios;712.95915;A
2012;14;3;Divorcios;51.37428;A
2012;14;4;Divorcios;3.36138;A
2012;14;NP;Divorcios;677.43838;A
2012;18;00;Divorcios;2194.10578;A
2012;18;1;Divorcios;53.80998;A
2012;18;2;Divorcios;1129.7353;A
2012;18;3;Divorcios;108.10692;A
2012;18;4;Divorcios;4.32532;A
2012;18;NP;Divorcios;898.12826;A
2012;21;00;Divorcios;1090.26737;A
