D_TEMPORAL_0;D_LUGARNACIMIEN_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2010;45276;3691;2402;Andaluces;10441.0;A
2010;45276;3691;2482;Andaluces;15.0;A
2010;45276;3691;2713;Andaluces;42.0;A
2010;45276;3691;2797;Andaluces;16.0;A
2010;45276;3691;2911;Andaluces;4.0;A
2010;45276;3691;3023;Andaluces;268.0;A
2010;45276;3691;3142;Andaluces;215.0;A
2010;45276;3691;3143;Andaluces;11012.0;A
2010;45276;3691;3160;Andaluces;1225.0;A
2010;45276;3691;3676;Andaluces;12237.0;A
2010;45276;3689;2352;Andaluces;4.0;A
2010;45276;3689;2402;Andaluces;4947.0;A
2010;45276;3689;2482;Andaluces;9.0;A
2010;45276;3689;2713;Andaluces;22.0;A
2010;45276;3689;2797;Andaluces;10.0;A
2010;45276;3689;2911;Andaluces;1.0;A
2010;45276;3689;3023;Andaluces;126.0;A
2010;45276;3689;3142;Andaluces;110.0;A
2010;45276;3689;3143;Andaluces;5229.0;A
2010;45276;3689;3160;Andaluces;583.0;A
2010;45276;3689;3676;Andaluces;5812.0;A
2010;45276;3690;2352;Andaluces;7.0;A
2010;45276;3690;2402;Andaluces;5494.0;A
2010;45276;3690;2482;Andaluces;6.0;A
2010;45276;3690;2713;Andaluces;20.0;A
2010;45276;3690;2797;Andaluces;6.0;A
2010;45276;3690;2911;Andaluces;3.0;A
2010;45276;3690;3023;Andaluces;142.0;A
2010;45276;3690;3142;Andaluces;105.0;A
2010;45276;3690;3143;Andaluces;5783.0;A
2010;45276;3690;3160;Andaluces;642.0;A
2010;45276;3690;3676;Andaluces;6425.0;A
2010;45354;3691;2352;Andaluces;18.0;A
2010;45354;3691;2402;Andaluces;44.0;A
2010;45354;3691;2482;Andaluces;7942.0;A
2010;45354;3691;2713;Andaluces;35.0;A
2010;45354;3691;2797;Andaluces;13.0;A
2010;45354;3691;2911;Andaluces;28.0;A
2010;45354;3691;3023;Andaluces;191.0;A
2010;45354;3691;3142;Andaluces;133.0;A
2010;45354;3691;3143;Andaluces;8404.0;A
2010;45354;3691;3160;Andaluces;1709.0;A
2010;45354;3691;3676;Andaluces;10113.0;A
2010;45354;3689;2352;Andaluces;9.0;A
2010;45354;3689;2402;Andaluces;18.0;A
2010;45354;3689;2482;Andaluces;3976.0;A
2010;45354;3689;2713;Andaluces;17.0;A
2010;45354;3689;2797;Andaluces;6.0;A
2010;45354;3689;2911;Andaluces;16.0;A
2010;45354;3689;3023;Andaluces;87.0;A
2010;45354;3689;3142;Andaluces;71.0;A
2010;45354;3689;3143;Andaluces;4200.0;A
2010;45354;3689;3160;Andaluces;804.0;A
2010;45354;3689;3676;Andaluces;5004.0;A
2010;45354;3690;2352;Andaluces;9.0;A
2010;45354;3690;2402;Andaluces;26.0;A
2010;45354;3690;2482;Andaluces;3966.0;A
2010;45354;3690;2713;Andaluces;18.0;A
2010;45354;3690;2797;Andaluces;7.0;A
2010;45354;3690;2911;Andaluces;12.0;A
2010;45354;3690;3023;Andaluces;104.0;A
2010;45354;3690;3142;Andaluces;62.0;A
2010;45354;3690;3143;Andaluces;4204.0;A
2010;45354;3690;3160;Andaluces;905.0;A
2010;45354;3690;3676;Andaluces;5109.0;A
2010;45576;3691;2352;Andaluces;123.0;A
2010;45576;3691;2402;Andaluces;61.0;A
2010;45576;3691;2482;Andaluces;44.0;A
2010;45576;3691;2713;Andaluces;14478.0;A
2010;45576;3691;2797;Andaluces;5.0;A
2010;45576;3691;2911;Andaluces;49.0;A
2010;45576;3691;3023;Andaluces;194.0;A
2010;45576;3691;3142;Andaluces;79.0;A
2010;45576;3691;3143;Andaluces;15033.0;A
2010;45576;3691;3160;Andaluces;1750.0;A
2010;45576;3691;3676;Andaluces;16783.0;A
2010;45576;3689;2352;Andaluces;64.0;A
2010;45576;3689;2402;Andaluces;30.0;A
2010;45576;3689;2482;Andaluces;19.0;A
2010;45576;3689;2713;Andaluces;7092.0;A
2010;45576;3689;2797;Andaluces;1.0;A
2010;45576;3689;2911;Andaluces;20.0;A
2010;45576;3689;3023;Andaluces;85.0;A
2010;45576;3689;3142;Andaluces;39.0;A
2010;45576;3689;3143;Andaluces;7350.0;A
2010;45576;3689;3160;Andaluces;892.0;A
2010;45576;3689;3676;Andaluces;8242.0;A
2010;45576;3690;2352;Andaluces;59.0;A
2010;45576;3690;2402;Andaluces;31.0;A
2010;45576;3690;2482;Andaluces;25.0;A
2010;45576;3690;2713;Andaluces;7386.0;A
2010;45576;3690;2797;Andaluces;4.0;A
2010;45576;3690;2911;Andaluces;29.0;A
2010;45576;3690;3023;Andaluces;109.0;A
2010;45576;3690;3142;Andaluces;40.0;A
2010;45576;3690;3143;Andaluces;7683.0;A
2010;45576;3690;3160;Andaluces;858.0;A
2010;45576;3690;3676;Andaluces;8541.0;A
2010;45657;3691;2352;Andaluces;7.0;A
2010;45657;3691;2402;Andaluces;26.0;A
2010;45657;3691;2482;Andaluces;11.0;A
2010;45657;3691;2713;Andaluces;9.0;A
2010;45657;3691;2797;Andaluces;2694.0;A
2010;45657;3691;2911;Andaluces;4.0;A
2010;45657;3691;3023;Andaluces;14.0;A
2010;45657;3691;3142;Andaluces;150.0;A
2010;45657;3691;3143;Andaluces;2915.0;A
2010;45657;3691;3160;Andaluces;426.0;A
2010;45657;3691;3676;Andaluces;3341.0;A
2010;45657;3689;2352;Andaluces;4.0;A
2010;45657;3689;2402;Andaluces;9.0;A
2010;45657;3689;2482;Andaluces;5.0;A
2010;45657;3689;2713;Andaluces;4.0;A
2010;45657;3689;2797;Andaluces;1338.0;A
2010;45657;3689;2911;Andaluces;1.0;A
2010;45657;3689;3023;Andaluces;8.0;A
