D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008-01;40123;61757;3143;Índice Cifra de Negocio;98.086979797;M
2008-01;40123;61758;3143;Índice Cifra de Negocio;126.003128966;M
2008-01;40123;61759;3143;Índice Cifra de Negocio;156.91429732;M
2008-01;40123;61760;3143;Índice Cifra de Negocio;128.390050768;M
2008-02;40123;61753;3143;Índice Cifra de Negocio;119.700100933;M
2008-02;40123;61754;3143;Índice Cifra de Negocio;121.380634179;M
2008-02;40123;61755;3143;Índice Cifra de Negocio;115.757702807;M
2008-02;40123;61756;3143;Índice Cifra de Negocio;110.207963364;M
2008-02;40123;61757;3143;Índice Cifra de Negocio;100.131288619;M
2008-02;40123;61758;3143;Índice Cifra de Negocio;124.947035403;M
2008-02;40123;61759;3143;Índice Cifra de Negocio;127.585155898;M
2008-02;40123;61760;3143;Índice Cifra de Negocio;135.259762402;M
2008-03;40123;61753;3143;Índice Cifra de Negocio;128.896877144;M
2008-03;40123;61754;3143;Índice Cifra de Negocio;131.174297021;M
2008-03;40123;61755;3143;Índice Cifra de Negocio;123.471232488;M
2008-03;40123;61756;3143;Índice Cifra de Negocio;114.518794625;M
2008-03;40123;61757;3143;Índice Cifra de Negocio;117.59282007;M
2008-03;40123;61758;3143;Índice Cifra de Negocio;129.083257528;M
2008-03;40123;61759;3143;Índice Cifra de Negocio;136.77198456;M
2008-03;40123;61760;3143;Índice Cifra de Negocio;137.736378281;M
2008-04;40123;61753;3143;Índice Cifra de Negocio;130.319652273;M
2008-04;40123;61754;3143;Índice Cifra de Negocio;132.099748574;M
2008-04;40123;61755;3143;Índice Cifra de Negocio;126.152475452;M
2008-04;40123;61756;3143;Índice Cifra de Negocio;118.944792798;M
2008-04;40123;61757;3143;Índice Cifra de Negocio;115.284348782;M
2008-04;40123;61758;3143;Índice Cifra de Negocio;130.824599814;M
2008-04;40123;61759;3143;Índice Cifra de Negocio;153.538171194;M
2008-04;40123;61760;3143;Índice Cifra de Negocio;129.310374903;M
2008-05;40123;61753;3143;Índice Cifra de Negocio;127.627590614;M
2008-05;40123;61754;3143;Índice Cifra de Negocio;127.728141995;M
2008-05;40123;61755;3143;Índice Cifra de Negocio;127.691794608;M
2008-05;40123;61756;3143;Índice Cifra de Negocio;118.756968308;M
2008-05;40123;61757;3143;Índice Cifra de Negocio;124.756487415;M
2008-05;40123;61758;3143;Índice Cifra de Negocio;127.356718033;M
2008-05;40123;61759;3143;Índice Cifra de Negocio;135.795220155;M
2008-05;40123;61760;3143;Índice Cifra de Negocio;149.884006258;M
2008-06;40123;61753;3143;Índice Cifra de Negocio;128.838415957;M
2008-06;40123;61754;3143;Índice Cifra de Negocio;129.389893453;M
