TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-05;108;25;INDICE;107.493;M
2021-05;108;26;INDICE;110.896;M
2021-05;108;17;INDICE;106.87;M
2021-05;108;27;INDICE;108.008;M
2021-05;108;28;INDICE;103.439;M
2021-05;108;09;INDICE;106.174;M
2021-05;108;11;INDICE;105.598;M
2021-05;108;03;INDICE;107.653;M
2021-05;108;04;INDICE;116.343;M
2021-05;108;10;INDICE;102.887;M
2021-05;108;29;INDICE;105.961;M
2021-05;C01;01;INDICE;103.505;M
2021-05;C01;02;INDICE;115.477;M
2021-05;C01;05;INDICE;107.109;M
2021-05;C01;12;INDICE;106.048;M
2021-05;C01;08;INDICE;117.593;M
2021-05;C01;06;INDICE;99.312;M
2021-05;C01;07;INDICE;118.444;M
2021-05;C01;13;INDICE;106.635;M
2021-05;C01;14;INDICE;106.787;M
2021-05;C01;18;INDICE;105.953;M
2021-05;C01;15;INDICE;105.394;M
2021-05;C01;16;INDICE;104.438;M
2021-05;C01;19;INDICE;107.01;M
2021-05;C01;20;INDICE;107.076;M
2021-05;C01;21;INDICE;106.689;M
2021-05;C01;22;INDICE;105.496;M
2021-05;C01;23;INDICE;104.641;M
2021-05;C01;24;INDICE;107.002;M
2021-05;C01;25;INDICE;107.109;M
2021-05;C01;26;INDICE;110.527;M
2021-05;C01;17;INDICE;106.836;M
2021-05;C01;27;INDICE;107.515;M
2021-05;C01;28;INDICE;102.803;M
2021-05;C01;09;INDICE;105.704;M
2021-05;C01;11;INDICE;105.965;M
2021-05;C01;03;INDICE;107.086;M
2021-05;C01;04;INDICE;116.872;M
2021-05;C01;10;INDICE;102.625;M
2021-05;C01;29;INDICE;106.065;M
2021-06;108;01;INDICE;104.583;M
2021-06;108;02;INDICE;114.025;M
2021-06;108;05;INDICE;108.607;M
2021-06;108;12;INDICE;105.976;M
2021-06;108;08;INDICE;119.666;M
2021-06;108;06;INDICE;99.581;M
2021-06;108;07;INDICE;122.455;M
2021-06;108;13;INDICE;107.285;M
2021-06;108;14;INDICE;107.376;M
2021-06;108;18;INDICE;106.345;M
2021-06;108;15;INDICE;105.522;M
2021-06;108;16;INDICE;104.732;M
2021-06;108;19;INDICE;108.014;M
2021-06;108;20;INDICE;108.126;M
2021-06;108;21;INDICE;107.36;M
2021-06;108;22;INDICE;105.925;M
2021-06;108;23;INDICE;104.723;M
2021-06;108;24;INDICE;108.392;M
2021-06;108;25;INDICE;108.607;M
2021-06;108;26;INDICE;112.447;M
2021-06;108;17;INDICE;107.388;M
2021-06;108;27;INDICE;107.972;M
2021-06;108;28;INDICE;103.735;M
2021-06;108;09;INDICE;106.529;M
2021-06;108;11;INDICE;105.922;M
2021-06;108;03;INDICE;107.622;M
2021-06;108;04;INDICE;118.49;M
2021-06;108;10;INDICE;102.648;M
2021-06;108;29;INDICE;106.331;M
2021-06;C01;01;INDICE;103.626;M
2021-06;C01;02;INDICE;114.322;M
2021-06;C01;05;INDICE;108.179;M
2021-06;C01;12;INDICE;106.408;M
2021-06;C01;08;INDICE;120.148;M
2021-06;C01;06;INDICE;99.399;M
2021-06;C01;07;INDICE;122.919;M
2021-06;C01;13;INDICE;107.347;M
2021-06;C01;14;INDICE;107.229;M
2021-06;C01;18;INDICE;106.239;M
2021-06;C01;15;INDICE;105.355;M
2021-06;C01;16;INDICE;104.518;M
2021-06;C01;19;INDICE;107.482;M
2021-06;C01;20;INDICE;107.56;M
2021-06;C01;21;INDICE;107.42;M
2021-06;C01;22;INDICE;106.021;M
2021-06;C01;23;INDICE;104.707;M
2021-06;C01;24;INDICE;108.018;M
2021-06;C01;25;INDICE;108.179;M
2021-06;C01;26;INDICE;112.016;M
2021-06;C01;17;INDICE;107.281;M
2021-06;C01;27;INDICE;107.225;M
2021-06;C01;28;INDICE;102.938;M
2021-06;C01;09;INDICE;105.972;M
2021-06;C01;11;INDICE;106.309;M
2021-06;C01;03;INDICE;106.821;M
2021-06;C01;04;INDICE;118.81;M
2021-06;C01;10;INDICE;102.31;M
2021-06;C01;29;INDICE;106.373;M
2021-07;108;01;INDICE;104.686;M
2021-07;108;02;INDICE;113.177;M
2021-07;108;05;INDICE;106.024;M
2021-07;108;12;INDICE;106.413;M
2021-07;108;08;INDICE;122.672;M
2021-07;108;06;INDICE;98.976;M
2021-07;108;07;INDICE;122.306;M
2021-07;108;13;INDICE;106.258;M
2021-07;108;14;INDICE;106.541;M
2021-07;108;18;INDICE;105.244;M
2021-07;108;15;INDICE;104.634;M
2021-07;108;16;INDICE;103.838;M
2021-07;108;19;INDICE;106.525;M
2021-07;108;20;INDICE;106.564;M
2021-07;108;21;INDICE;106.288;M
2021-07;108;22;INDICE;104.466;M
2021-07;108;23;INDICE;103.546;M
2021-07;108;24;INDICE;106.01;M
2021-07;108;25;INDICE;106.024;M
2021-07;108;26;INDICE;109.035;M
2021-07;108;17;INDICE;106.563;M
2021-07;108;27;INDICE;107.749;M
2021-07;108;28;INDICE;103.847;M
2021-07;108;09;INDICE;104.374;M
2021-07;108;11;INDICE;106.329;M
2021-07;108;03;INDICE;107.417;M
2021-07;108;04;INDICE;118.032;M
2021-07;108;10;INDICE;98.991;M
2021-07;108;29;INDICE;105.299;M
2021-07;C01;01;INDICE;103.569;M
2021-07;C01;02;INDICE;113.372;M
2021-07;C01;05;INDICE;105.222;M
2021-07;C01;12;INDICE;106.741;M
2021-07;C01;08;INDICE;122.679;M
2021-07;C01;06;INDICE;98.831;M
2021-07;C01;07;INDICE;122.154;M
2021-07;C01;13;INDICE;106.004;M
2021-07;C01;14;INDICE;106.151;M
2021-07;C01;18;INDICE;104.932;M
2021-07;C01;15;INDICE;104.266;M
2021-07;C01;16;INDICE;103.413;M
2021-07;C01;19;INDICE;105.738;M
2021-07;C01;20;INDICE;105.757;M
2021-07;C01;21;INDICE;106.034;M
2021-07;C01;22;INDICE;104.286;M
2021-07;C01;23;INDICE;103.264;M
2021-07;C01;24;INDICE;105.226;M
2021-07;C01;25;INDICE;105.222;M
2021-07;C01;26;INDICE;108.038;M
2021-07;C01;17;INDICE;106.201;M
2021-07;C01;27;INDICE;106.867;M
2021-07;C01;28;INDICE;102.917;M
2021-07;C01;09;INDICE;103.419;M
2021-07;C01;11;INDICE;106.628;M
2021-07;C01;03;INDICE;106.494;M
2021-07;C01;04;INDICE;117.964;M
2021-07;C01;10;INDICE;98.458;M
2021-07;C01;29;INDICE;105.113;M
2021-08;108;01;INDICE;104.934;M
2021-08;108;02;INDICE;113.473;M
2021-08;108;05;INDICE;106.924;M
2021-08;108;12;INDICE;106.686;M
2021-08;108;08;INDICE;122.748;M
2021-08;108;06;INDICE;99.235;M
2021-08;108;07;INDICE;125.572;M
2021-08;108;13;INDICE;106.822;M
2021-08;108;14;INDICE;107.039;M
2021-08;108;18;INDICE;105.76;M
2021-08;108;15;INDICE;104.783;M
2021-08;108;16;INDICE;103.972;M
2021-08;108;19;INDICE;107.124;M
2021-08;108;20;INDICE;107.191;M
2021-08;108;21;INDICE;106.875;M
2021-08;108;22;INDICE;105.082;M
2021-08;108;23;INDICE;103.646;M
2021-08;108;24;INDICE;106.844;M
2021-08;108;25;INDICE;106.924;M
2021-08;108;26;INDICE;110.204;M
2021-08;108;17;INDICE;107.057;M
2021-08;108;27;INDICE;108.033;M
2021-08;108;28;INDICE;104.177;M
2021-08;108;09;INDICE;104.283;M
2021-08;108;11;INDICE;106.583;M
2021-08;108;03;INDICE;107.68;M
2021-08;108;04;INDICE;119.977;M
2021-08;108;10;INDICE;98.851;M
2021-08;108;29;INDICE;105.82;M
2021-08;C01;01;INDICE;103.792;M
2021-08;C01;02;INDICE;114.083;M
2021-08;C01;05;INDICE;106.22;M
2021-08;C01;12;INDICE;107.086;M
2021-08;C01;08;INDICE;123.295;M
2021-08;C01;06;INDICE;99.181;M
2021-08;C01;07;INDICE;126.078;M
2021-08;C01;13;INDICE;106.672;M
2021-08;C01;14;INDICE;106.745;M
2021-08;C01;18;INDICE;105.513;M
2021-08;C01;15;INDICE;104.458;M
2021-08;C01;16;INDICE;103.55;M
2021-08;C01;19;INDICE;106.439;M
2021-08;C01;20;INDICE;106.48;M
2021-08;C01;21;INDICE;106.72;M
2021-08;C01;22;INDICE;104.959;M
2021-08;C01;23;INDICE;103.372;M
2021-08;C01;24;INDICE;106.173;M
2021-08;C01;25;INDICE;106.22;M
2021-08;C01;26;INDICE;109.313;M
2021-08;C01;17;INDICE;106.798;M
2021-08;C01;27;INDICE;107.272;M
2021-08;C01;28;INDICE;103.217;M
2021-08;C01;09;INDICE;103.391;M
2021-08;C01;11;INDICE;106.956;M
2021-08;C01;03;INDICE;106.865;M
2021-08;C01;04;INDICE;120.437;M
2021-08;C01;10;INDICE;98.267;M
2021-08;C01;29;INDICE;105.719;M
2021-09;108;01;INDICE;105.113;M
2021-09;108;02;INDICE;113.139;M
2021-09;108;05;INDICE;109.71;M
2021-09;108;12;INDICE;106.418;M
2021-09;108;08;INDICE;124.351;M
2021-09;108;06;INDICE;99.619;M
2021-09;108;07;INDICE;131.45;M
2021-09;108;13;INDICE;108.031;M
2021-09;108;14;INDICE;107.956;M
2021-09;108;18;INDICE;106.597;M
2021-09;108;15;INDICE;105.074;M
2021-09;108;16;INDICE;104.329;M
2021-09;108;19;INDICE;108.65;M
2021-09;108;20;INDICE;108.786;M
2021-09;108;21;INDICE;108.132;M
2021-09;108;22;INDICE;106.248;M
2021-09;108;23;INDICE;104.055;M
2021-09;108;24;INDICE;109.421;M
2021-09;108;25;INDICE;109.71;M
2021-09;108;26;INDICE;113.995;M
2021-09;108;17;INDICE;107.95;M
2021-09;108;27;INDICE;107.98;M
2021-09;108;28;INDICE;104.265;M
2021-09;108;09;INDICE;105.752;M
2021-09;108;11;INDICE;106.339;M
2021-09;108;03;INDICE;107.693;M
2021-09;108;04;INDICE;123.094;M
2021-09;108;10;INDICE;100.28;M
2021-09;108;29;INDICE;106.651;M
2021-09;C01;01;INDICE;104.135;M
2021-09;C01;02;INDICE;113.641;M
2021-09;C01;05;INDICE;109.214;M
2021-09;C01;12;INDICE;106.869;M
2021-09;C01;08;INDICE;124.944;M
2021-09;C01;06;INDICE;99.626;M
2021-09;C01;07;INDICE;132.408;M
2021-09;C01;13;INDICE;108.091;M
2021-09;C01;14;INDICE;107.814;M
2021-09;C01;18;INDICE;106.516;M
2021-09;C01;15;INDICE;104.884;M
2021-09;C01;16;INDICE;104.068;M
2021-09;C01;19;INDICE;108.113;M
2021-09;C01;20;INDICE;108.207;M
2021-09;C01;21;INDICE;108.182;M
2021-09;C01;22;INDICE;106.354;M
2021-09;C01;23;INDICE;103.947;M
2021-09;C01;24;INDICE;109.005;M
2021-09;C01;25;INDICE;109.214;M
2021-09;C01;26;INDICE;113.398;M
2021-09;C01;17;INDICE;107.85;M
2021-09;C01;27;INDICE;107.31;M
2021-09;C01;28;INDICE;103.466;M
2021-09;C01;09;INDICE;105.034;M
2021-09;C01;11;INDICE;106.751;M
2021-09;C01;03;INDICE;106.97;M
2021-09;C01;04;INDICE;123.714;M
2021-09;C01;10;INDICE;99.907;M
2021-09;C01;29;INDICE;106.728;M
2021-10;108;01;INDICE;105.648;M
2021-10;108;02;INDICE;116.166;M
2021-10;108;05;INDICE;114.307;M
2021-10;108;12;INDICE;106.441;M
2021-10;108;08;INDICE;129.504;M
2021-10;108;06;INDICE;99.962;M
2021-10;108;07;INDICE;139.783;M
2021-10;108;13;INDICE;110.249;M
2021-10;108;14;INDICE;109.999;M
2021-10;108;18;INDICE;108.338;M
2021-10;108;15;INDICE;106.293;M
2021-10;108;16;INDICE;105.358;M
2021-10;108;19;INDICE;111.706;M
2021-10;108;20;INDICE;111.984;M
2021-10;108;21;INDICE;110.439;M
2021-10;108;22;INDICE;108.15;M
2021-10;108;23;INDICE;105.223;M
2021-10;108;24;INDICE;113.67;M
2021-10;108;25;INDICE;114.307;M
2021-10;108;26;INDICE;120.371;M
