TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-04;11;01;INDICE;105.89;M
2021-04;11;02;INDICE;103.017;M
2021-04;11;03;INDICE;110.491;M
2021-04;11;04;INDICE;108.419;M
2021-04;11;05;INDICE;97.191;M
2021-04;11;06;INDICE;101.186;M
2021-04;11;07;INDICE;110.81;M
2021-04;11;08;INDICE;98.697;M
2021-04;11;09;INDICE;97.398;M
2021-04;11;10;INDICE;104.233;M
2021-04;11;11;INDICE;105.968;M
2021-04;11;12;INDICE;103.184;M
2021-04;14;00;INDICE;106.582;M
2021-04;14;01;INDICE;107.524;M
2021-04;14;02;INDICE;102.91;M
2021-04;14;03;INDICE;109.857;M
2021-04;14;04;INDICE;109.835;M
2021-04;14;05;INDICE;98.709;M
2021-04;14;06;INDICE;105.578;M
2021-04;14;07;INDICE;109.789;M
2021-04;14;08;INDICE;100.069;M
2021-04;14;09;INDICE;101.802;M
2021-04;14;10;INDICE;104.284;M
2021-04;14;11;INDICE;105.315;M
2021-04;14;12;INDICE;104.467;M
2021-04;18;00;INDICE;106.221;M
2021-04;18;01;INDICE;107.585;M
2021-04;18;02;INDICE;103.053;M
2021-04;18;03;INDICE;109.925;M
2021-04;18;04;INDICE;108.911;M
2021-04;18;05;INDICE;101.868;M
2021-04;18;06;INDICE;101.604;M
2021-04;18;07;INDICE;108.797;M
2021-04;18;08;INDICE;100.874;M
2021-04;18;09;INDICE;97.866;M
2021-04;18;10;INDICE;107.668;M
2021-04;18;11;INDICE;108.117;M
2021-04;18;12;INDICE;104.406;M
2021-04;21;00;INDICE;105.924;M
2021-04;21;01;INDICE;105.918;M
2021-04;21;02;INDICE;103.713;M
2021-04;21;03;INDICE;109.413;M
2021-04;21;04;INDICE;109.872;M
2021-04;21;05;INDICE;99.251;M
2021-04;21;06;INDICE;103.635;M
2021-04;21;07;INDICE;109.795;M
2021-04;21;08;INDICE;100.99;M
2021-04;21;09;INDICE;98.008;M
2021-04;21;10;INDICE;104.079;M
2021-04;21;11;INDICE;107.811;M
2021-04;21;12;INDICE;101.251;M
2021-04;23;00;INDICE;106.038;M
2021-04;23;01;INDICE;108.324;M
2021-04;23;02;INDICE;104.681;M
2021-04;23;03;INDICE;110.249;M
2021-04;23;04;INDICE;110.006;M
2021-04;23;05;INDICE;99.751;M
2021-04;23;06;INDICE;100.481;M
2021-04;23;07;INDICE;110.938;M
2021-04;23;08;INDICE;101.274;M
2021-04;23;09;INDICE;95.118;M
