TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ
2021-04;C01;13;INDICE;87.089;M
2021-04;C01;14;INDICE;116.7;M
2021-04;C01;15;INDICE;99.929;M
2021-04;C01;16;INDICE;129.565;M
2021-04;C01;17;INDICE;104.99;M
2021-04;C01;18;INDICE;112.391;M
2021-04;C01;19;INDICE;100.727;M
2021-04;C01;20;INDICE;107.636;M
2021-04;C01;21;INDICE;101.795;M
2021-04;C01;22;INDICE;112.468;M
2021-04;C01;23;INDICE;104.726;M
2021-04;C01;24;INDICE;103.125;M
2021-04;C01;25;INDICE;103.51;M
2021-04;C01;26;INDICE;112.648;M
2021-04;C01;27;INDICE;116.071;M
2021-04;C01;28;INDICE;108.506;M
2021-04;C01;29;INDICE;107.536;M
2021-04;C01;30;INDICE;105.721;M
2021-04;C01;31;INDICE;99.197;M
2021-04;C01;32;INDICE;106.574;M
2021-04;C01;33;INDICE;104.24;M
2021-04;C01;34;INDICE;114.028;M
2021-04;C01;35;INDICE;104.283;M
2021-04;C01;36;INDICE;102.421;M
2021-04;C01;37;INDICE;96.349;M
2021-04;C01;38;INDICE;96.698;M
2021-04;C01;39;INDICE;99.693;M
2021-04;C01;40;INDICE;98.592;M
2021-04;C01;41;INDICE;107.884;M
2021-04;C01;42;INDICE;108.905;M
2021-04;C01;43;INDICE;99.72;M
2021-04;C01;44;INDICE;110.447;M
2021-04;C01;45;INDICE;103.53;M
2021-04;C01;46;INDICE;99.999;M
2021-04;C01;47;INDICE;100.36;M
2021-04;C01;48;INDICE;86.716;M
2021-04;C01;49;INDICE;109.114;M
2021-04;C01;50;INDICE;104.227;M
2021-04;C01;51;INDICE;108.627;M
2021-04;C01;52;INDICE;108.952;M
2021-04;C01;53;INDICE;104.459;M
2021-04;C01;54;INDICE;103.889;M
2021-04;C01;55;INDICE;96.145;M
2021-04;C01;56;INDICE;106.357;M
2021-04;C01;57;INDICE;106.57;M
2021-05;108;01;INDICE;102.075;M
2021-05;108;02;INDICE;103.44;M
